;Codigo_do_fundo;Setor;Preco_Atual;Liquidez_Diaria;Dividendo;DividendYield;DY_(3M)Acumulado;DY_(6M)Acumulado;DY_(12M)Acumulado;DY_(3M)Média;DY_(6M)Média;DY_(12M)Média;DY_Ano;Variacao_Preco;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P_VPA;DYPatrimonial;Variacao_Patrimonial;Rentab._Patr.no_Periodo;Rentab._Patr.Acumulada;Vacancia_Fisica;VacanciaFinanceira;QuantidadeAtivos
0;FIVN11;Shoppings;R$ 3,23;1850.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 65.491.905,42;R$ 6,96;46.0;;;;;56,00%;;1
1;BZLI11;Títulos e Val. Mob.;R$ 17,00;1.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;0,68%;1,14%;R$ 440.205.505,76;R$ 10,78;158.0;;;;;;;0
2;XTED11;Lajes Corporativas;R$ 7,25;1088.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;1,10%;-37,83%;R$ 27.085.416,91;R$ 13,78;53.0;;;;;0,00%;100,00%;1
3;ALMI11;Lajes Corporativas;R$ 910,00;18.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 250.158.727,48;R$ 2.250,09;40.0;;;;;64,05%;;1
4;PABY11;Híbrido;R$ 7,30;4.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-19,84%;-19,84%;-31,62%;R$ -10.950.151,50;R$ -14,44;-51.0;;;;;;;1
5;ORPD11;Títulos e Val. Mob.;R$ 93,00;3.0;R$ 1,38;;;;;;;;;;;;R$ 43.238.325,61;R$ 149,10;62.0;;;;;;;0
6;FISC11;Lajes Corporativas;R$ 165,00;200.0;R$ 0,22;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 196.478.286,31;R$ 115,58;143.0;;;;;;;0
7;ATSA11;Shoppings;R$ 80,03;42.0;R$ 0,25;0,18%;0,59%;1,30%;2,97%;0,20%;0,22%;0,25%;0,37%;0,74%;0,92%;1,10%;R$ 157.775.604,53;R$ 90,10;89.0;0,06%;0,19%;0,24%;0,24%;21,90%;;1
8;HTMX11;Hotel;R$ 116,69;1959.0;R$ 0,00;0,00%;0,80%;2,20%;5,41%;0,27%;0,37%;0,45%;0,80%;-28,14%;-28,14%;-32,26%;R$ 164.192.001,82;R$ 130,62;89.0;;;;;65,00%;;23
9;GSFI11;Shoppings;R$ 4,75;2642.0;R$ 0,00;0,03%;0,03%;0,03%;0,03%;0,01%;0,00%;0,00%;0,03%;0,00%;0,03%;0,03%;R$ 1.008.886.224,64;R$ 13,42;35.0;;;;;10,30%;;10
10;NEWU11;Lajes Corporativas;R$ 35,21;38.0;R$ 0,00;0,00%;0,00%;0,56%;16,63%;0,00%;0,09%;1,39%;0,61%;-4,04%;-4,04%;-31,62%;R$ 48.123.818,78;R$ 64,86;54.0;;;;;63,20%;;3
11;PRSV11;Lajes Corporativas;R$ 122,00;626.0;R$ 1,62;0,42%;1,53%;2,91%;5,95%;0,51%;0,48%;0,50%;4,46%;5,30%;5,74%;-11,25%;R$ 47.622.008,57;R$ 244,22;50.0;;;;;40,90%;;2
12;FAMB11B;Lajes Corporativas;R$ 784,00;4.0;R$ 9,16;0,56%;2,17%;4,78%;10,43%;0,72%;0,80%;0,87%;8,82%;-47,80%;-47,51%;-47,80%;R$ 320.093.073,43;R$ 3.054,32;26.0;;;;;100,00%;;1
13;FMOF11;Lajes Corporativas;R$ 64,99;3.0;R$ 0,64;;;;;;;;;;;;R$ 62.339.721,97;R$ 122,71;53.0;;;;;52,08%;;1
14;HGRS11;Residencial;;;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 151.283.672,82;R$ 101,33;;;;;;;;0
15;KNRE11;Residencial;R$ 0,99;1813.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;R$ 21.412.067,51;R$ 1,15;86.0;;;;;;;0
16;RBDS11;Residencial;R$ 3,50;329.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;R$ 2.605.642,65;R$ 20,59;17.0;;;;;;;0
17;WTSP11B;Híbrido;R$ 36,71;60.0;R$ 0,32;0,76%;2,57%;4,67%;6,85%;0,86%;0,78%;0,57%;0,76%;0,00%;0,76%;0,76%;R$ 82.488.951,36;R$ 83,11;44.0;;;;;;;0
18;OULG11;Outros;R$ 47,00;1260.0;R$ 0,17;0,38%;1,14%;3,40%;8,03%;0,38%;0,57%;0,67%;1,50%;3,09%;3,48%;-3,91%;R$ 180.805.973,24;R$ 72,87;65.0;;;;;0,00%;;2
19;VXXV11;Outros;R$ 923,00;8830.0;R$ 10,76;;;;;;;;;;;;R$ 231.483.050,85;R$ 876,17;105.0;;;;;;;0
20;BICE11;Títulos e Val. Mob.;R$ 950,00;240.0;R$ 5,40;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 20.682.601,39;R$ 981,57;97.0;1,63%;-0,68%;0,93%;1,54%;;;0
21;HRDF11;Híbrido;R$ 1,03;332.0;R$ 6,80;;;;;;;;;;;;R$ 8.722.671,42;R$ 1,15;90.0;;;;;;;0
22;CJCT11;Lajes Corporativas;R$ 83,00;15.0;R$ 0,00;;;;;;;;;;;;R$ 231.360.831,28;R$ 80,61;103.0;;;;;59,00%;;1
23;LFTT11;Residencial;R$ 87,90;1.0;R$ 0,75;;;;;;;;;;;;R$ 394.603.196,49;R$ 53,29;165.0;;;;;;;0
24;HCRI11;Hospital;R$ 228,00;164.0;R$ 2,49;0,88%;2,36%;4,77%;9,33%;0,79%;0,80%;0,78%;1,62%;-18,08%;-17,35%;-16,74%;R$ 59.962.597,07;R$ 299,81;76.0;;;;;0,00%;;1
25;DRIT11B;Lajes Corporativas;R$ 95,60;5.0;R$ 0,33;0,28%;0,80%;0,00%;0,00%;0,27%;0,00%;0,00%;1,28%;5,78%;6,07%;-7,42%;R$ 58.337.901,67;R$ 125,92;76.0;0,53%;0,46%;1,00%;1,00%;10,47%;;6
26;CTXT11;Lajes Corporativas;R$ 12,21;45.0;R$ 0,09;0,39%;0,78%;1,36%;5,53%;0,26%;0,23%;0,46%;1,36%;-2,58%;-2,20%;-39,31%;R$ 115.874.720,49;R$ 39,92;31.0;;;;;97,00%;;1
27;GESE11B;Outros;R$ 1.520,00;300.0;R$ 12,60;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 86.540.717,02;R$ 1.664,24;91.0;;;;;;;0
28;SRVD11;Títulos e Val. Mob.;R$ 7,50;1.0;R$ 0,10;1,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,01%;0,00%;1,01%;1,01%;R$ 71.653.252,73;R$ 0,74;1008.0;;;;;;;0
29;RBIR11;Residencial;R$ 68,21;40.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;R$ 146.773.544,10;R$ 96,02;71.0;;;;;;;0
30;CARE11;Híbrido;R$ 3,99;6391.0;R$ 0,00;0,23%;0,66%;1,36%;1,60%;0,22%;0,23%;0,13%;1,36%;-2,63%;-2,41%;5,65%;R$ 292.218.917,16;R$ 8,17;49.0;;;;;;;0
31;VJFD11;Híbrido;;;R$ 0,86;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 646.971.334,45;R$ 132,68;;;;;;;;0
32;RBGS11;Shoppings;R$ 28,45;5157.0;R$ 0,18;0,62%;1,59%;2,73%;5,12%;0,53%;0,46%;0,43%;5,12%;-1,90%;-1,29%;-28,71%;R$ 97.865.283,71;R$ 90,78;31.0;0,18%;0,00%;0,18%;1,17%;13,00%;;1
33;BPML11;Shoppings;R$ 64,25;8700.0;R$ 0,15;0,23%;0,95%;2,59%;0,00%;0,32%;0,43%;0,00%;1,49%;-7,36%;-7,14%;1,82%;R$ 536.943.743,35;R$ 124,72;52.0;0,24%;-0,74%;-0,50%;-0,02%;5,80%;;7
34;TORD11;Outros;R$ 8,10;88584.0;R$ 0,17;1,94%;3,98%;6,33%;12,27%;1,33%;1,06%;1,02%;6,33%;-6,41%;-4,59%;-3,33%;R$ 496.263.415,26;R$ 14,16;57.0;0,57%;0,34%;0,90%;11,73%;;;0
35;IBFF11;Títulos e Val. Mob.;R$ 66,40;1924.0;R$ 0,30;0,44%;2,01%;4,58%;9,52%;0,67%;0,76%;0,79%;5,42%;7,50%;7,98%;19,59%;R$ 48.361.846,89;R$ 72,54;92.0;0,69%;-1,95%;-1,28%;-0,61%;;;0
