;days;values;redimentos
0;2022-09-08;75.16;0.55
1;2022-08-05;67.35;0.53
2;2022-07-07;72.02;0.54
3;2022-06-07;72.91;0.59
4;2022-05-06;75.0;0.65
5;2022-04-07;73.18;0.5
6;2022-03-08;73.83;0.45
7;2022-02-07;76.87;0.77
8;2022-01-10;72.28;0.58
9;2021-12-08;65.45;0.56
10;2021-11-09;65.75;0.46
11;2021-10-08;68.26;0.42
12;2021-09-09;72.0;0.42
13;2021-08-09;75.0;0.53
14;2021-07-08;71.2;0.51
15;2021-06-09;70.48;0.39
16;2021-04-09;76.3;0.05
17;2021-03-08;77.19;0.4
18;2021-02-08;77.3;0.56
19;2021-01-11;74.0;0.41
20;2020-12-08;76.25;0.35
21;2020-11-10;76.99;0.3
22;2020-10-08;77.03;0.19
23;2020-09-08;75.54;0.11
24;2020-07-07;89.11;0.49
25;2020-03-06;104.5;0.49
26;2020-02-07;107.53;0.83
27;2020-01-08;107.33;0.49
28;2019-12-06;99.99;0.49
29;2019-11-07;98.59;0.49
30;2019-10-07;93.0;0.49
31;2019-09-06;92.0;0.49
32;2019-08-07;100.73;0.45
33;2019-07-05;109.0;0.45
34;2019-06-07;109.5;0.45
35;2019-05-08;99.95;0.45
36;2019-04-05;107.58;0.45
37;2019-03-11;103.5;0.45
38;2019-02-07;94.35;0.65
39;2019-01-08;18.0;0.45
40;2018-12-07;17.0;0.45
41;2018-11-08;16.55;0.425
42;2018-10-05;16.2;0.425
43;2018-09-10;16.2;0.425
44;2018-08-07;15.99;0.425
45;2018-07-06;14.45;0.425
46;2018-06-07;15.09;0.425
47;2018-05-08;15.98;0.4
48;2018-04-06;16.39;0.4
49;2018-03-07;16.53;0.4
50;2018-02-07;16.77;0.6
51;2018-01-08;15.9;0.4
52;2017-12-07;15.97;0.4
53;2017-11-08;15.55;0.4
54;2017-10-06;19.0;0.4
55;2017-09-08;18.98;0.4
56;2017-07-07;15.92;0.375
57;2017-06-07;17.4;0.375
58;2017-04-07;15.02;0.375
59;2017-03-07;14.94;0.4
60;2017-02-07;13.2;0.6
61;2017-01-06;11.96;0.375
62;2016-12-07;11.95;0.375
63;2016-11-08;11.95;0.35
64;2016-09-08;11.7;0.35
