;days;values;redimentos
0;2022-08-25;117.0;0.781922895
1;2022-07-25;112.9;0.784729351
2;2022-05-25;115.4;0.77561
3;2022-04-25;116.46;0.771556
4;2022-03-25;111.15;0.763397862
5;2022-02-25;111.7;0.725452975
6;2022-01-25;115.94;0.748615716
7;2021-12-23;110.85;0.652553809
8;2021-11-25;102.71;0.637742293
9;2021-10-25;113.75;0.619714184
10;2021-09-24;115.9;0.673174674
11;2021-08-25;115.61;0.716978629
12;2021-07-23;124.26;0.623788253
13;2021-06-25;116.0;0.672362586
14;2021-05-25;125.5;0.675307084
15;2021-04-23;128.21;0.608603341
16;2021-03-25;124.1;0.592997943
17;2021-02-25;130.6;0.493304061
18;2021-01-22;127.15;0.39066594
19;2020-12-23;128.0;0.376
20;2020-11-25;123.0;0.3705
21;2020-10-23;126.0;0.364805392
22;2020-09-25;128.79;0.572238123
23;2020-08-25;130.0;0.591474929
24;2020-07-24;122.0;0.619143759
25;2020-06-25;133.75;0.596399998
26;2020-05-25;110.0;0.596226044
27;2020-04-24;107.0;0.586388124
28;2020-03-25;93.94;0.586495918
29;2020-02-21;124.57;0.594586682
30;2020-01-24;131.99;0.567432923
31;2019-12-23;127.99;0.559259875
32;2019-11-25;115.69;0.547685433
33;2019-10-25;108.1;0.466299405
34;2019-09-25;106.0;0.482042182
35;2019-08-23;105.0;0.465254662
36;2019-07-25;104.5;0.438669241
37;2019-06-25;102.0;0.659525205
38;2019-05-24;98.4;0.659525205
39;2019-04-25;96.1;0.659525205558041
40;2019-03-25;97.52;0.659525205558041
41;2019-02-25;98.0;0.65812051046997
42;2019-01-24;98.15;0.65549442250176
43;2018-12-21;93.5;0.651133402604905
44;2018-11-23;92.0;0.646602640610927
45;2018-10-25;90.99;0.646602640610927
46;2018-09-25;92.6;0.641904744233442
47;2018-08-24;93.2;0.640299997392286
48;2018-07-25;93.5;0.640003189434347
49;2018-06-25;93.25;0.640027200458958
50;2018-05-25;95.75;0.642088668280774
51;2018-04-25;101.44;0.517545269
52;2018-03-23;102.16;0.78090952
53;2018-02-23;101.99;0.352053645
