;days;values;redimentos
0;2022-08-19;99.11;1.4
1;2022-07-21;99.98;1.5
2;2022-06-22;100.09;1.45
3;2022-05-20;100.51;1.3
4;2022-04-25;101.65;1.1
5;2022-03-22;102.8;1.1
6;2022-02-21;103.18;1.1
7;2022-01-21;104.45;1.35
8;2021-11-23;101.93;1.15
9;2021-10-22;103.56;1.15
10;2021-09-22;104.0;1.15
11;2021-08-20;103.93;1.1
12;2021-07-21;108.0;1.07
13;2021-06-22;105.93;1.07
14;2021-05-21;105.5;1.0
15;2021-04-23;108.66;1.1
16;2021-03-19;113.88;1.6
17;2021-02-22;113.2;2.05
18;2021-01-22;114.4;1.8
19;2020-12-21;112.3;1.28
20;2020-11-23;109.47;1.18
21;2020-10-22;105.0;0.92
22;2020-09-22;106.18;0.85
23;2020-08-21;103.5;0.71
24;2020-07-21;97.0;0.63
25;2020-06-22;98.7;0.63
26;2020-05-22;91.36;0.63
27;2020-04-23;92.68;0.71
28;2020-03-20;84.7;0.71
29;2020-02-21;107.0;0.71
30;2020-01-22;110.5;0.36
31;2019-12-20;108.0;0.82973704
32;2019-11-22;110.0;1.11442367
33;2019-10-18;107.8;1.1
34;2019-09-20;114.5;1.0
