;days;values;redimentos
0;2022-02-01;98.0;
1;2022-02-02;96.9;
2;2022-02-03;97.5;
3;2022-02-04;96.4;
4;2022-02-07;92.45;
5;2022-02-08;89.59;
6;2022-02-09;89.0;
7;2022-02-10;92.0;
8;2022-02-11;91.5;
9;2022-02-14;92.0;
10;2022-02-15;93.96;
11;2022-02-16;95.0;
12;2022-02-17;95.76;
13;2022-02-18;95.0;
14;2022-02-21;94.95;
15;2022-02-22;95.77;
16;2022-02-23;95.0;
17;2022-02-24;91.9;
18;2022-02-25;91.75;
19;2022-03-02;89.0;
20;2022-03-03;89.0;
21;2022-03-04;90.0;
22;2022-03-07;86.0;
23;2022-03-08;87.0;
24;2022-03-09;87.99;
25;2022-03-10;87.99;
26;2022-03-11;87.4;
27;2022-03-14;86.9;
28;2022-03-15;83.92;
29;2022-03-16;85.0;
30;2022-03-17;84.49;
31;2022-03-18;84.5;
32;2022-03-21;83.36;
33;2022-03-22;82.3;
34;2022-03-23;83.1;
35;2022-03-24;83.0;
36;2022-03-25;83.0;
37;2022-03-28;84.75;
38;2022-03-29;85.98;
39;2022-03-30;86.0;
40;2022-03-31;86.5;
41;2022-04-01;85.59;
42;2022-04-04;89.45;
43;2022-04-05;89.09;
44;2022-04-06;89.5;
45;2022-04-07;90.0;
46;2022-04-08;85.95;
47;2022-04-11;89.99;
48;2022-04-12;89.09;
49;2022-04-13;89.0;
50;2022-04-14;90.0;
51;2022-04-18;89.5;
52;2022-04-19;88.44;
53;2022-04-20;88.7;
54;2022-04-22;88.82;
55;2022-04-25;87.33;
56;2022-04-26;87.17;
57;2022-04-27;88.95;
58;2022-04-28;88.5;
59;2022-04-29;88.5;
60;2022-05-02;85.25;
61;2022-05-03;84.64;
62;2022-05-04;84.9;
63;2022-05-05;85.1;
64;2022-05-06;85.15;
65;2022-05-09;85.0;
66;2022-05-10;84.5;
67;2022-05-11;84.55;
68;2022-05-12;85.69;
69;2022-05-13;86.11;
70;2022-05-16;85.56;
71;2022-05-17;85.55;
72;2022-05-18;86.4;
73;2022-05-19;85.35;
74;2022-05-20;86.13;
75;2022-05-23;86.33;
76;2022-05-24;85.1;
77;2022-05-25;86.4;
78;2022-05-26;85.54;
79;2022-05-27;86.29;
80;2022-05-30;86.0;
81;2022-05-31;86.0;
82;2022-06-01;85.29;
83;2022-06-02;84.99;
84;2022-06-06;84.9;
85;2022-06-07;84.6;
86;2022-06-09;84.91;
87;2022-06-10;84.6;
88;2022-06-13;84.6;
89;2022-06-14;83.1;
90;2022-06-15;84.01;
91;2022-06-17;84.4;
92;2022-06-20;85.14;
93;2022-06-21;85.9;
94;2022-06-22;85.59;
95;2022-06-23;85.9;
96;2022-06-27;85.0;
97;2022-06-28;85.25;
98;2022-06-29;86.9;
99;2022-06-30;86.88;
100;2022-07-04;89.65;
101;2022-07-05;87.0;
102;2022-07-06;86.0;
103;2022-07-07;85.64;
104;2022-07-08;85.07;
105;2022-07-11;85.0;
106;2022-07-12;86.0;
107;2022-07-13;85.49;
108;2022-07-14;85.5;
109;2022-07-15;85.5;
110;2022-07-18;85.5;
111;2022-07-19;84.9;
112;2022-07-20;85.85;
113;2022-07-21;85.99;
114;2022-07-22;86.5;
115;2022-07-25;85.3;
116;2022-07-26;85.21;
117;2022-07-27;85.29;
118;2022-07-28;85.7;
119;2022-08-02;84.88;
120;2022-08-03;84.15;
121;2022-08-04;84.0;
122;2022-08-05;83.99;
123;2022-08-08;84.0;
124;2022-08-09;84.59;
125;2022-08-10;84.1;
126;2022-08-11;84.67;
127;2022-08-15;84.5;
128;2022-08-16;84.24;
129;2022-08-17;84.4;
130;2022-08-18;84.99;
131;2022-08-19;85.5;
132;2022-08-22;85.49;
133;2022-08-23;85.4;
134;2022-08-24;85.0;
135;2022-08-25;85.7;
136;2022-08-26;85.9;
137;2022-08-29;88.95;
138;2022-08-30;86.0;
139;2022-08-31;87.5;
140;2022-09-01;87.26;
141;2022-09-02;86.89;
142;2022-09-05;86.99;
143;2022-09-06;87.45;
144;2022-09-08;86.02;
145;2022-09-12;85.02;
146;2022-09-13;85.53;
147;2022-09-14;85.71;
148;2022-09-15;85.48;
149;2022-09-16;89.35;
150;2022-09-19;86.2;
151;2022-09-20;86.31;
