;days;values;redimentos
0;2022-07-20;85.58;0.495235027
1;2022-05-19;85.0;0.502611813
2;2022-04-22;85.49;0.51
3;2022-03-21;81.0;0.507763332
4;2022-02-18;83.02;0.51
5;2022-01-20;82.8;0.52
6;2021-12-20;80.0;0.50476289
7;2021-11-22;78.83;0.042457119
8;2021-10-21;83.7;0.40358148
9;2021-09-21;83.03;0.531766133
10;2021-08-19;87.87;0.57
11;2021-07-21;99.5;0.625543866
12;2021-06-21;97.9;0.507332141
13;2021-05-20;98.36;0.616296068
14;2021-04-22;102.5;0.678109269
15;2021-03-18;103.33;0.666182383
16;2021-02-22;103.12;0.736651806
17;2021-01-21;104.99;0.717070026
18;2020-12-18;101.01;0.746458239
19;2020-11-20;103.6;0.700187338
20;2020-07-20;106.0;0.129526678
