;days;values;redimentos
0;2022-09-15;99.99;0.72
1;2022-07-14;102.1;0.94
2;2022-06-14;93.01;0.74
3;2022-05-13;92.76;0.74
4;2022-04-14;98.94;0.63
5;2022-03-15;92.8;0.63
6;2022-02-14;91.8;0.56
7;2022-01-14;90.91;0.94
8;2021-12-14;86.5;0.69
9;2021-11-16;89.35;0.6
10;2021-10-15;89.93;0.59
11;2021-09-15;89.01;0.58
12;2021-08-13;91.14;0.55
13;2021-07-15;89.11;0.66
14;2021-06-15;89.36;0.54
15;2021-05-14;91.69;0.53
16;2021-04-15;92.96;0.51
17;2021-03-12;94.43;0.5
18;2021-02-12;93.6;0.55
19;2021-01-15;97.47;0.774
20;2020-12-14;94.5;0.59
21;2020-11-16;99.99;0.58
22;2020-10-15;96.5;0.56
23;2020-09-15;92.55;0.56
24;2020-08-14;91.2;0.54
25;2020-07-14;96.89;0.7
26;2020-06-15;93.89;0.53
27;2020-05-15;86.01;0.53
28;2020-01-15;108.46;0.513
29;2019-12-13;96.0;0.46
30;2019-11-14;96.0;0.43
31;2019-10-14;96.25;0.42
32;2019-09-13;96.0;0.398416133
33;2019-08-14;93.15;0.326936914
34;2019-07-15;89.6;0.335483355
35;2019-06-14;87.49;0.468036167687462
36;2019-05-15;79.98;0.381459347659517
37;2019-04-12;76.67;0.40945586210005
38;2019-03-18;78.35;0.269312112819948
39;2019-02-14;77.92;0.430555836559312
40;2019-01-15;76.96;0.443845844121374
41;2018-12-14;71.2;0.3912956064923
42;2018-11-16;71.32;0.449160671
43;2018-10-18;70.01;0.233921
44;2018-10-15;74.0;0.152518486986744
45;2018-09-17;72.02;0.410007592109415
46;2018-08-14;78.5;0.322681607163426
47;2018-07-16;78.9;0.389501815395556
48;2018-06-14;78.5;0.529821244885593
49;2018-05-15;82.01;0.301601644623174
50;2018-04-13;80.0;0.334401991175926
51;2018-03-14;82.0;0.2993283988
52;2018-02-16;83.0;0.3877704639
53;2018-01-15;85.89;0.60346657
54;2017-12-14;83.85;0.571516729183047
55;2017-11-16;85.0;0.50717819
56;2017-09-15;86.6;0.8146344
57;2017-08-14;81.5;0.374591904087019
58;2017-06-14;88.85;0.460758800286457
59;2017-04-17;86.5;0.453740786554555
60;2017-03-14;85.0;0.470777590256459
61;2017-02-14;86.9;0.4621238475
62;2017-01-13;86.0;0.612372714
63;2016-12-14;86.25;0.636324728
64;2016-11-16;85.75;0.620140905
65;2016-10-17;87.0;0.722893555
66;2016-09-15;87.0;0.737747387
