;days;values;redimentos
0;2022-09-08;67.74;0.7
1;2022-08-05;63.34;0.75
2;2022-07-07;62.91;0.8
3;2022-06-07;63.6;0.75
4;2022-05-06;63.6;0.65
5;2022-04-07;64.33;0.6
6;2022-03-08;63.39;0.6
7;2022-02-07;67.15;0.6
8;2022-01-07;67.98;0.6
9;2021-12-07;64.28;0.6
10;2021-11-08;66.78;0.57
11;2021-10-07;68.01;0.55
12;2021-09-08;71.4;0.55
13;2021-08-06;72.95;0.55
14;2021-07-07;76.2;0.57
15;2021-06-08;79.13;0.57
16;2021-05-07;79.11;0.57
17;2021-04-08;77.2;0.57
18;2021-03-05;77.98;0.57
19;2021-02-05;80.53;0.57
20;2021-01-08;79.31;0.57
21;2020-12-07;77.38;0.5
22;2020-11-09;80.5;0.5
23;2020-10-07;82.26;0.5
24;2020-09-08;82.09;0.5
25;2020-08-07;83.15;0.5
26;2020-07-07;95.01;0.54
27;2020-06-05;95.7;0.5
28;2020-05-08;90.8;0.65
29;2020-04-07;87.8;0.5
30;2020-03-06;113.01;0.75
31;2020-02-07;119.65;0.75
32;2020-01-08;127.15;1.5
33;2019-12-09;114.4;0.85
34;2019-11-07;108.0;0.65
35;2019-10-07;103.17;0.65
36;2019-09-06;104.55;0.65
37;2019-08-07;103.69;0.7
38;2019-07-05;100.0;0.75
39;2019-06-07;93.35;0.75
40;2019-05-08;91.79;0.65
41;2019-04-05;92.44;0.6
42;2019-03-11;93.2;0.6
43;2019-02-07;95.18;0.6
44;2019-01-08;93.14;0.6
45;2018-12-07;90.45;0.6
46;2018-11-08;90.2;0.6
47;2018-10-05;85.83;0.6
48;2018-09-10;90.5;0.6
49;2018-08-07;90.2;0.67
50;2018-07-06;93.0;0.67
51;2018-06-07;98.14;0.67
52;2018-05-08;106.4;0.67
53;2018-04-06;105.0;0.67
54;2018-03-07;103.98;0.67
55;2018-02-07;101.2;0.67
56;2018-01-08;98.36;0.72
57;2017-12-07;97.0;0.67
58;2017-11-08;97.99;0.67
59;2017-08-07;94.0;0.67
60;2017-07-07;91.99;0.67
61;2017-06-07;91.2;0.67
62;2017-05-08;91.66;0.669999999999998
63;2017-04-07;91.0;0.669999999999998
64;2017-03-07;94.5;0.67
65;2017-02-07;87.94;0.67
66;2017-01-06;80.01;0.8
67;2016-12-07;83.43;0.67
68;2016-11-08;87.8;0.67
69;2016-10-07;78.3;0.67
70;2016-09-08;77.49;0.67
