;days;values;redimentos
0;2022-08-25;102.1;0.74
1;2022-07-25;98.32;0.82
2;2022-05-25;102.0;0.72
3;2022-04-25;101.81;0.72
4;2022-03-22;103.23;0.72
5;2022-02-25;103.0;0.72
6;2022-01-25;105.62;0.72
7;2021-12-23;104.4;0.72
8;2021-11-25;95.8;0.72
9;2021-10-25;107.0;0.72
10;2021-09-24;105.76;0.72
11;2021-08-13;109.85;0.74
12;2021-07-23;111.0;0.7
13;2021-06-25;106.81;0.7
14;2021-05-25;111.8;0.7
15;2021-04-23;113.0;0.63
16;2021-03-22;115.3;0.6
17;2021-02-25;117.92;0.6
18;2021-01-22;109.75;0.6
19;2020-12-11;105.2;0.6
20;2020-11-25;109.22;0.6
21;2020-10-23;106.5;0.6
22;2020-09-25;104.5;0.33
23;2020-08-25;108.57;0.5
24;2020-07-24;109.33;0.5
25;2020-06-25;103.95;0.5
26;2020-05-25;96.34;0.5
27;2020-04-24;87.49;0.5
28;2020-03-25;85.26;0.6
29;2020-02-21;110.43;0.6
30;2020-01-24;108.7;0.738164812
31;2019-12-23;120.0;0.4
32;2019-11-25;103.5;0.4
33;2019-10-23;104.41;0.36
34;2019-09-25;105.21;0.4076945925
35;2019-08-23;108.92;0.4131473211
36;2019-07-25;103.52;0.3731050641
37;2019-06-25;106.0;0.4109436808
38;2019-05-24;97.93;0.4307927703
39;2019-04-25;97.22;0.43010053
40;2019-03-25;98.57;0.38029859
41;2019-02-25;94.0;0.38127845
42;2019-01-24;92.99;0.36548651
43;2018-12-26;78.0;0.36565537
44;2018-11-26;74.29;0.34646915
45;2018-10-25;66.26;0.31267287
46;2018-09-25;64.8;0.30864063
47;2018-08-24;69.0;0.34118117
48;2018-07-25;68.4;0.29360941
49;2018-06-25;65.75;0.348877908
50;2018-05-25;70.01;0.35068827
51;2018-04-25;71.29;0.33762354
52;2018-03-23;72.0;0.33492124
53;2018-02-23;79.95;0.33567909
54;2018-01-24;79.0;0.33724607
55;2017-12-22;78.0;0.35254993
56;2017-11-24;77.3;0.32036204
57;2017-10-25;78.49;0.33525472
58;2017-09-25;80.0;0.33743881
59;2017-08-25;69.0;0.36423647
60;2017-07-25;68.9;0.36089512
61;2017-06-23;61.22;0.2422395
62;2017-05-25;61.5;0.27198909
63;2017-04-25;60.99;0.24447136
64;2017-02-24;70.98;0.29654466
65;2017-01-24;64.9;0.5275449726
66;2016-12-23;56.95;0.53908626
67;2016-11-25;53.75;0.49635579
68;2016-10-25;53.0;0.23687877
69;2016-09-23;53.0;0.30109179
