;days;values;redimentos
0;2019-01-09;55.39;0.33
1;2018-12-10;44.77;0.03
2;2018-11-09;46.02;0.03
3;2018-10-08;44.99;0.03
4;2018-09-11;47.0;0.03
5;2018-08-08;46.96;0.03
6;2018-07-10;49.02;0.013
7;2018-01-09;61.5;0.4
8;2017-12-08;58.5;0.03
9;2017-11-09;59.5;0.03
10;2017-09-11;61.0;0.18
11;2017-08-08;59.65;0.05
12;2017-07-10;60.23;0.59
13;2017-06-08;59.5;0.18
14;2017-05-09;58.02;0.18
15;2017-04-10;57.48;0.2
16;2017-03-08;57.6;0.2
17;2017-02-08;55.5;0.2
18;2017-01-09;54.0;0.35
19;2016-12-08;55.2;0.2
20;2016-11-09;56.51;0.277
