;days;values;redimentos
0;2022-09-15;39.5;0.355578429025949
1;2022-08-15;39.59;0.342449610321375
2;2022-07-15;36.79;0.346880154120085
3;2022-06-15;37.43;0.341472868443329
4;2022-05-13;39.19;0.349523226
5;2022-04-14;39.65;0.3474088386
6;2022-03-15;40.25;0.369309150880061
7;2022-02-15;42.56;0.367669219767069
8;2022-01-14;44.3;0.372059166934236
9;2021-12-15;42.52;0.361392725999008
10;2021-11-12;39.95;0.325087486499898
11;2021-10-15;56.6;0.830942321725678
12;2021-09-15;52.38;0.915247082518462
13;2021-08-13;87.96;0.910285186374383
14;2021-07-15;90.38;0.907786812224525
15;2021-06-15;89.0;0.910104772468548
16;2021-05-14;88.8;0.917766776613445
17;2021-04-15;87.0;0.92280383549
18;2021-03-15;77.5;0.897227659884994
19;2021-02-12;99.85;0.915027058583146
20;2021-01-15;103.02;0.920631787267579
21;2020-12-15;103.82;0.914829808225576
22;2020-11-13;108.0;0.915838530021308
23;2020-10-15;102.0;0.920400776438308
24;2020-09-15;97.18;0.799370127557722
25;2020-08-14;98.46;0.814026387226714
26;2020-07-15;2455.01;0.771382696517704
27;2020-06-15;2450.0;0.8158987828016
28;2020-05-15;2395.0;0.8127028401296
29;2020-04-15;2250.01;0.8256128550162
30;2020-03-13;2350.0;0.804696780408068
31;2020-02-14;2591.99;0.811444449633672
32;2020-01-15;2795.0;0.819522134329664
33;2019-12-13;2600.0;0.80759606526752
34;2019-11-14;2500.0;0.817165474765756
35;2019-10-15;2364.99;0.820027473072768
36;2019-09-13;2294.01;0.772197985930704
37;2019-08-15;2300.0;0.774373180770016
38;2019-07-15;2330.0;0.771130675151056
39;2019-06-14;2449.9;0.776623841910156
40;2019-05-15;2408.0;0.766559957967248
41;2019-04-15;2277.99;0.784007419948044
42;2019-03-15;2249.0;0.77846230187688
43;2019-02-15;2240.0;0.776728293295192
44;2019-01-15;2230.0;0.756603858840012
45;2018-12-14;2210.0;0.782427835021456
46;2018-11-14;2159.0;0.78100469365714
47;2018-10-15;2030.0;0.783121375405004
48;2018-09-14;2084.89;0.719391447502844
49;2018-08-15;2122.0;0.725599211885928
50;2018-07-13;2250.0;0.705778353133484
51;2018-06-15;2050.0;0.7226007122216
52;2018-05-15;2346.16;0.6769739105052
53;2018-04-13;2450.0;0.7141243118596
54;2018-03-15;2450.0;0.70827111124084
55;2018-02-15;2419.4;0.7130160716
56;2018-01-15;2393.0;0.7148556408536
57;2017-12-15;2399.98;0.714456468
58;2017-11-14;2400.0;0.712186584
59;2017-09-15;2428.0;0.7332278979
60;2017-08-15;2339.0;0.7285203245864
61;2017-07-14;2390.0;0.733244093522868
62;2017-06-14;2365.0;0.7072935336512
63;2017-05-15;2320.0;0.7286442633916
64;2017-04-13;2324.0;0.738567436294
65;2017-03-15;2338.0;0.7308028
66;2017-02-15;2370.0;0.73106248
67;2017-01-13;2410.0;0.7355814
68;2016-11-14;2360.0;0.7310574
