;days;values;redimentos
0;2022-09-13;69.21;0.55
1;2022-08-10;63.1;0.55
2;2022-07-12;63.0;0.64
3;2022-06-10;62.93;0.55
4;2022-05-11;62.45;0.53
5;2022-04-12;66.81;0.51
6;2022-03-11;64.5;0.51
7;2022-02-10;65.51;0.51
8;2022-01-12;65.95;0.55
9;2021-11-11;68.04;0.45
10;2021-10-13;70.0;0.45
11;2021-09-13;72.89;0.45
12;2021-08-11;74.5;0.45
13;2021-07-12;75.25;0.3593
14;2021-06-11;88.0;0.54
15;2021-05-12;93.25;0.6
16;2021-04-13;96.4;0.6
17;2021-03-10;99.0;0.6
18;2021-02-10;105.5;0.6
19;2021-01-13;127.39;0.7
20;2020-12-10;131.0;0.7
21;2020-11-12;137.58;0.7
22;2020-10-13;154.0;0.7
23;2020-09-11;165.0;0.7
24;2020-08-12;1430.0;0.7
25;2020-07-10;1695.1;2.214
26;2020-06-10;1424.0;1.0
27;2020-05-13;1251.0;0.85
28;2020-04-13;1330.05;0.85
29;2020-03-11;1332.0;0.85
30;2020-02-12;1593.9;0.85
31;2020-01-13;1698.98;4.05
32;2019-12-11;1428.0;2.1
33;2019-11-12;1219.0;0.8
34;2019-10-10;1136.0;0.8
35;2019-09-11;1099.98;0.7
36;2019-08-12;1071.02;0.7
37;2019-07-10;1054.5;0.7
38;2019-06-12;1018.5;0.7
39;2019-05-13;1005.02;0.7
40;2019-04-10;1006.66;0.7
41;2019-03-14;1034.0;0.7
42;2019-02-12;1015.0;0.7
43;2019-01-11;1040.0;1.0
44;2018-12-12;995.01;0.7
45;2018-11-13;970.0;0.7
46;2018-10-10;958.53;0.7
47;2018-09-13;953.61;0.7
48;2018-08-10;980.0;0.7
49;2018-07-11;918.01;0.7
50;2018-06-12;990.0;0.7
51;2018-05-11;1059.97;0.7
52;2018-03-12;1096.0;0.7
53;2018-02-14;1119.99;0.75
54;2018-01-11;1089.99;0.82
55;2017-12-12;1080.0;0.75
56;2017-11-13;1052.02;0.75
57;2017-10-11;1074.5;0.75
58;2017-09-13;1020.0;0.75
59;2017-07-12;1037.0;0.8
60;2017-06-12;1045.0;0.8
61;2017-05-11;1010.0;0.77
62;2017-04-12;1005.0;0.76
63;2017-02-10;1030.0;0.8
64;2017-01-11;1029.7;0.83962801
65;2016-11-11;980.0;0.8
