;days;values;redimentos
0;2022-09-15;89.0;0.67
1;2022-08-15;86.49;0.6
2;2022-07-15;95.0;0.54
3;2022-06-15;89.96;0.58
4;2022-05-13;78.3;0.59
5;2022-04-14;86.49;0.6
6;2022-02-15;101.0;0.51
7;2022-01-14;88.19;0.61
8;2021-11-12;85.03;0.49
9;2021-10-15;100.55;0.46
10;2021-09-15;109.9;0.32
11;2021-08-13;107.98;0.34
12;2021-07-15;112.99;0.34
13;2021-06-15;115.01;0.33
14;2021-05-14;110.06;0.25
15;2021-04-15;112.0;0.36
16;2021-02-12;113.0;0.3
17;2021-01-15;125.1;0.3
18;2020-12-15;122.57;0.15
19;2020-11-13;140.9;0.5
20;2020-10-15;133.64;0.55
21;2020-09-15;142.0;0.3
22;2020-07-15;157.88;0.3
23;2020-06-15;123.81;0.3
24;2020-05-15;130.0;0.3
25;2020-04-15;114.0;0.45
26;2020-02-14;180.0;0.81
27;2020-01-15;170.08;0.55
28;2019-12-13;175.04;0.77
29;2019-09-13;180.0;0.5
30;2019-08-15;160.0;0.5
31;2019-05-15;152.03;0.64
32;2019-04-15;178.0;0.64
33;2019-03-15;180.0;0.67
34;2019-02-15;170.0;0.67
35;2019-01-15;147.0;0.84
36;2018-11-14;125.0;0.7
37;2018-10-15;119.5;0.7
38;2018-09-14;119.0;0.7
39;2018-08-15;118.5;0.7
40;2018-07-13;121.0;0.7
41;2018-05-15;124.99;0.65
42;2018-04-13;120.0;2.8
43;2018-03-15;120.0;0.6
44;2018-02-15;129.0;0.65
45;2018-01-15;117.5;0.55
46;2017-12-15;116.0;0.65
47;2017-08-15;112.01;0.5
48;2017-07-14;136.0;0.5
49;2017-04-13;114.99;1.0
50;2017-03-15;104.0;0.52
51;2017-01-13;106.0;0.52
52;2016-12-15;100.0;0.52
53;2016-09-15;101.5;0.6
