;days;values;redimentos
0;2022-09-15;227.02;1.75
1;2022-07-14;213.96;1.75
2;2022-06-14;220.0;1.7
3;2022-05-13;240.0;1.83
4;2022-04-14;225.0;1.78
5;2022-03-15;200.96;1.78
6;2022-02-14;201.78;1.72
7;2022-01-14;204.5;1.72
8;2021-12-14;198.0;1.6
9;2021-11-16;199.94;1.5
10;2021-10-15;204.5;1.55
11;2021-09-15;203.45;1.5
12;2021-08-13;205.13;1.45
13;2021-07-15;207.91;1.4
14;2021-06-15;210.29;1.35
15;2021-05-14;209.05;1.35
16;2021-04-15;209.4;1.35
17;2021-03-12;210.5;1.35
18;2021-02-12;217.0;1.3
19;2021-01-15;218.0;3.32
20;2020-12-14;213.2;0.75
21;2020-11-16;211.7;0.75
22;2020-10-15;218.96;0.75
23;2020-09-17;217.32;0.75
24;2020-08-17;200.8;0.75
25;2020-07-17;205.9;0.83
26;2020-06-17;184.56;0.7
27;2020-05-18;159.96;0.55
28;2020-04-17;156.0;0.7
29;2020-03-17;140.13;0.7
30;2020-02-18;200.0;0.7
31;2020-01-17;208.5;0.7
32;2019-12-17;195.0;0.65
33;2019-11-18;189.0;0.6
34;2019-10-17;169.3;0.6
35;2019-09-17;172.02;6.85
36;2019-08-16;166.02;0.6
37;2019-07-17;168.6;0.6
38;2019-06-17;152.03;0.55
39;2019-05-17;150.0;0.6
40;2019-04-17;154.39;0.51
41;2019-03-19;158.0;0.51
42;2019-02-19;156.8;0.74
43;2019-01-18;159.3;0.63
44;2018-12-19;170.0;0.9
45;2018-11-19;178.0;1.0
46;2018-10-17;168.0;0.95
47;2018-09-18;163.99;0.9
48;2018-08-17;170.0;0.9
49;2018-07-18;173.31;0.9
50;2018-06-19;177.0;1.2
51;2018-05-18;186.0;1.1
52;2018-04-18;196.36;1.0
53;2018-03-19;199.5;1.0
54;2018-02-19;201.95;1.0
55;2018-01-17;194.5;1.25
56;2017-12-19;193.86;1.25
57;2017-11-17;204.2;1.0
58;2017-10-19;208.5;1.0
59;2017-09-19;194.0;1.0
60;2017-07-19;184.01;0.7
61;2017-06-20;194.0;0.2
62;2017-04-19;199.0;0.71
63;2017-04-19;199.0;1.23
64;2017-04-19;199.0;1.56
65;2017-03-17;193.51;1.22
66;2017-02-17;199.0;1.0
67;2016-12-19;192.98;1.1
68;2016-10-19;190.0;1.2
69;2016-09-19;191.0;0.8
