;days;values;redimentos
0;2020-11-13;1408.01;9.16
1;2020-10-14;3078.0;25.284962213
2;2020-09-14;3124.0;26.130163358
3;2020-08-13;3077.0;25.922259255
4;2020-07-13;2915.5;32.00010124
5;2020-06-12;3470.01;32.178641984
6;2020-02-13;3096.0;29.044032633
7;2020-01-14;3750.0;29.677112309
8;2019-12-12;3616.99;29.159219561
9;2019-11-13;3165.01;28.25290019
10;2019-10-11;2990.0;29.357155534
11;2019-09-12;2991.0;28.978973377
12;2019-08-13;2922.0;28.976932729
13;2019-07-12;2929.01;29.672193702
14;2019-06-13;2794.0;29.123345992
15;2019-05-14;2510.0;28.997436068
16;2019-04-11;2350.0;32.3506678435115
17;2019-03-15;2235.0;28.2069812022901
18;2019-02-14;2198.16;25.5116541984733
19;2019-01-14;2375.0;34.1855048664122
20;2018-12-13;2268.79;35.0575161259542
21;2018-11-14;2095.0;28.36620725
22;2018-10-11;1622.0;30.5890996183206
23;2018-09-14;1600.0;33.9676217557252
24;2018-08-13;2203.01;34.8281814885496
25;2018-07-12;3229.0;36.5342420801527
26;2018-06-13;2999.76;36.0800714694657
27;2018-05-14;3033.98;36.2492848282443
28;2018-04-12;3960.0;36.5392323473282
29;2018-03-13;4029.97;36.4026146946565
30;2018-02-15;4030.0;35.4409849236641
31;2018-01-12;4040.0;36.4728508587786
32;2017-12-13;3700.0;36.7483739503817
33;2017-11-14;4815.0;37.7564930343511
34;2017-10-13;4760.0;43.2635674618321
35;2017-08-11;4822.22;32.6112685114504
36;2017-07-13;4948.78;41.6989979007634
37;2017-05-12;4980.0;37.9410919847328
38;2017-04-13;5048.99;33.1881636450382
39;2017-02-13;5010.0;31.1843330153
40;2017-01-12;5220.0;42.0970978053
41;2016-12-13;5199.97;36.004896374
42;2016-11-14;4951.0;35.094339027
