;days;values;redimentos
0;2022-08-10;462.0;3.5
1;2022-07-11;437.87;3.3
2;2022-06-10;426.0;3.3
3;2022-05-10;427.5;3.3
4;2022-04-11;440.04;3.25
5;2022-03-10;441.0;3.2
6;2022-02-10;456.02;3.2
7;2022-01-10;453.0;3.7
8;2021-11-10;434.6;3.3
9;2021-10-11;469.8;3.3
10;2021-09-10;475.5;3.25
11;2021-08-10;483.7;3.25
12;2021-07-12;477.96;3.72
13;2021-06-10;500.63;3.3
14;2021-05-10;502.63;3.2
15;2021-04-12;499.92;3.1
16;2021-03-10;517.76;3.0
17;2021-02-10;530.5;2.89
18;2021-01-11;543.7;2.75
19;2020-12-10;530.71;2.7
20;2020-11-10;533.47;2.65
21;2020-10-09;514.68;2.39
22;2020-09-10;486.0;2.37
23;2020-08-10;468.51;1.75
24;2020-07-10;486.15;1.75
25;2020-06-10;499.0;1.7
26;2020-05-11;455.8;1.9
27;2020-04-13;476.0;2.4
28;2020-03-10;533.1;2.8
29;2020-02-10;559.0;2.7
30;2020-01-10;585.0;2.7
31;2019-12-10;555.0;2.67
32;2019-11-11;527.0;2.67
33;2019-10-10;525.0;2.67
34;2019-09-10;526.0;2.67
35;2019-08-12;523.38;2.67
36;2019-07-10;487.99;2.67
37;2019-06-10;451.6;2.6
38;2019-05-10;445.5;2.6
39;2019-04-10;437.5;2.6
40;2019-03-11;435.5;2.6
41;2019-02-11;435.0;2.6
42;2019-01-10;429.0;2.68
43;2018-12-10;420.75;2.68
44;2018-11-12;402.5;2.68
45;2018-10-10;397.26;2.68
46;2018-09-10;398.0;2.68
47;2018-08-10;394.0;2.68
48;2018-07-10;393.9;2.5
49;2018-06-11;391.98;2.47
50;2018-05-10;400.01;2.47
51;2018-04-10;405.0;2.47
52;2018-03-12;410.0;2.4
53;2018-02-14;430.0;2.4
54;2018-01-10;391.5;2.4
55;2017-12-11;389.0;2.38
56;2017-11-10;381.0;2.38
57;2017-10-10;385.0;2.35
58;2017-09-11;363.0;2.35
59;2017-08-10;364.0;2.35
60;2017-06-12;372.0;2.29
61;2017-04-10;350.0;2.27
62;2017-02-10;360.0;2.21
63;2017-01-10;331.02;2.8
64;2016-12-12;303.0;2.55
65;2016-12-12;303.0;2.55
66;2016-10-10;280.0;0.98
