;days;values;redimentos
0;2016-09-13;3.24;
1;2016-09-13;3.24;
2;2016-09-14;4.0;
3;2016-09-16;5.19;
4;2016-09-19;7.5;
5;2016-09-20;7.3;
6;2016-10-18;8.49;
7;2016-10-31;7.5;
8;2016-11-01;7.0;
9;2017-02-01;6.95;
10;2017-02-07;6.96;
11;2017-02-10;6.97;
12;2017-03-01;6.95;
13;2017-03-06;6.83;
14;2017-03-08;6.75;
15;2017-03-22;6.85;
16;2017-05-04;6.0;
17;2017-07-20;7.0;
18;2017-08-07;6.89;
19;2017-09-11;7.0;
20;2017-09-14;6.0;
21;2017-10-05;5.0;
22;2017-10-11;5.01;
23;2017-10-25;5.0;
24;2017-11-27;6.0;
25;2018-01-02;7.5;
26;2018-01-11;8.0;
27;2018-01-17;7.5;
28;2018-01-23;6.99;
29;2018-01-24;6.99;
30;2018-01-29;6.51;
31;2018-01-31;6.51;
32;2018-02-08;5.45;
33;2018-02-09;6.51;
34;2018-02-14;6.51;
35;2018-02-15;6.51;
36;2018-02-16;6.51;
37;2018-02-19;6.51;
38;2018-03-09;6.0;
39;2018-03-13;6.0;
40;2018-03-16;5.0;
41;2018-03-22;5.0;
42;2018-03-27;5.0;
43;2018-03-28;5.0;
44;2018-03-29;5.0;
45;2018-04-02;5.02;
46;2018-04-05;5.98;
47;2018-04-06;5.7;
48;2018-04-12;5.69;
49;2018-04-13;5.68;
50;2018-04-16;5.65;
51;2018-04-17;5.65;
52;2018-04-18;5.5;
53;2018-04-20;4.8;
54;2018-04-23;5.7;
55;2018-04-24;5.71;
56;2018-04-25;5.65;
57;2018-04-27;5.49;
58;2018-04-30;5.58;
59;2018-05-03;4.75;
60;2018-05-07;4.99;
61;2018-05-08;5.43;
62;2018-05-09;5.0;
63;2018-05-10;4.25;
64;2018-05-11;4.25;
65;2018-05-14;4.85;
66;2018-05-15;4.84;
67;2018-05-17;4.5;
68;2018-05-18;4.44;
69;2018-05-21;4.4;
70;2018-05-22;4.4;
71;2018-05-24;4.4;
72;2018-05-25;4.4;
73;2018-05-29;4.3;
74;2018-05-30;4.4;
75;2018-06-04;4.44;
76;2018-06-05;4.45;
77;2018-06-06;4.3;
78;2018-06-08;4.0;
79;2018-06-11;4.0;
80;2018-06-15;4.0;
81;2018-06-18;3.85;
82;2018-06-19;4.26;
83;2018-06-20;4.25;
84;2018-06-21;4.25;
85;2018-06-26;4.23;
86;2018-07-02;3.8;
87;2018-07-04;3.8;
88;2018-07-05;3.75;
89;2018-07-06;3.75;
90;2018-07-10;3.75;
91;2018-07-11;3.5;
92;2018-07-13;3.65;
