;days;values;redimentos
0;2022-09-08;9.75;0.082
1;2022-07-14;92.95;0.08
2;2022-06-14;93.35;0.082
3;2022-05-13;94.6;0.082
4;2022-04-14;95.3;0.082
5;2022-03-15;95.15;0.082
6;2022-02-14;97.17;0.084
7;2022-01-14;100.4;0.084
8;2021-12-14;98.62;0.084
9;2021-11-16;98.15;0.084
10;2021-10-15;102.95;0.084
11;2021-09-15;102.36;0.084
12;2021-08-13;106.47;0.084
13;2021-07-15;109.0;0.084
14;2021-06-15;109.48;0.084
15;2021-05-14;111.0;0.084
16;2021-04-15;111.92;0.084
17;2021-03-12;113.94;0.0844
18;2021-02-12;115.3;0.081
19;2021-01-15;112.99;0.07504733117
