;days;values;redimentos
0;2022-08-18;72.9;0.76
1;2022-07-20;69.9;0.79
2;2022-07-20;69.9;0.5
3;2022-06-21;72.0;0.5
4;2022-06-21;72.0;0.77
5;2022-05-19;72.92;0.75
6;2022-05-19;72.92;0.5
7;2022-04-22;74.93;0.5
8;2022-04-22;74.93;0.78
9;2022-03-21;72.36;0.75
10;2022-03-21;72.36;0.5
11;2022-02-18;77.0;0.75
12;2022-02-18;77.0;1.0
13;2022-01-20;77.0;0.792
14;2021-12-20;73.25;0.7
15;2021-11-22;67.95;0.67
16;2021-10-21;77.2;0.67
17;2021-09-21;77.65;0.67
18;2021-08-19;78.5;0.7
19;2021-07-21;88.29;0.7
20;2021-06-21;95.0;0.87
21;2021-05-20;96.0;0.93
22;2021-04-22;96.79;0.92
23;2021-03-18;97.31;0.9
24;2021-02-22;94.36;0.85
25;2021-01-21;99.75;0.7
26;2020-12-18;100.04;0.7
27;2020-11-20;102.5;1.29
