;days;values;redimentos
0;2022-08-08;106.0;0.86
1;2022-07-08;105.8;0.94
2;2022-05-09;106.05;0.9
3;2022-04-08;108.4;0.88
4;2022-03-09;103.38;0.85
5;2022-02-08;110.93;0.87
6;2022-01-10;111.5;0.82
7;2021-12-08;107.69;0.8
8;2021-11-09;109.59;0.8
9;2021-10-08;115.0;0.8
10;2021-09-09;117.45;0.82
11;2021-08-09;116.45;0.82
12;2021-07-08;118.9;0.88
13;2021-06-09;123.3;0.7
14;2021-05-10;119.79;0.64
15;2021-04-09;121.0;0.68
16;2021-03-08;133.0;0.6
17;2021-02-09;143.23;0.97
18;2021-01-11;140.5;0.7
19;2020-12-08;134.6;0.74
20;2020-11-10;138.6;0.72
21;2020-10-08;149.48;0.71
22;2020-09-09;145.73;0.68
23;2020-08-10;135.3;0.64
24;2020-07-08;136.89;0.64
25;2020-06-08;131.6;0.71
26;2020-05-11;121.48;0.59
27;2020-04-08;118.5;0.76
28;2020-03-09;128.5;0.73
29;2020-02-10;139.02;1.04
30;2020-01-09;148.98;0.66
31;2019-12-09;145.0;0.67
32;2019-11-08;143.0;0.68
33;2019-10-08;140.0;0.68
34;2019-09-09;139.8;0.71
35;2019-08-08;141.7;0.72
36;2019-07-08;142.89;0.68
37;2019-06-10;134.84;0.72
38;2019-05-09;131.39;0.67
39;2019-04-08;129.8;0.51
40;2019-04-08;129.8;0.17
41;2019-03-12;129.0;0.83
42;2019-02-08;128.35;0.88
43;2019-01-09;135.6;1.08
44;2018-12-10;127.9;1.08
45;2018-11-09;123.8;1.04
46;2018-10-08;121.9;0.87
47;2018-09-11;122.91;0.88
48;2018-08-08;125.0;0.88
49;2018-07-10;122.01;0.27
50;2018-07-10;122.01;0.61
51;2018-06-08;122.6;0.84
52;2018-05-09;135.01;0.8
53;2018-04-09;133.0;0.76
54;2018-03-08;128.86;0.74
55;2018-02-08;130.96;0.7
56;2018-01-09;126.45;0.84
57;2017-12-08;119.49;0.84
58;2017-11-09;124.1;0.84
59;2017-10-09;126.77;0.843826137513819
60;2017-09-11;127.51;0.857806222
61;2017-08-08;115.7;0.86678844
62;2017-07-11;109.2;0.23636734
63;2017-07-10;109.0;0.23636734
64;2017-06-08;104.55;0.57536017
