;days;values;redimentos
0;2022-09-12;94.6;1.03
1;2022-07-12;98.56;1.3
2;2022-06-10;102.2;1.4
3;2022-05-12;98.68;1.25
4;2022-04-12;103.53;1.2
5;2022-03-11;104.05;1.3
6;2022-02-11;107.21;1.2
7;2022-01-12;108.12;1.3
8;2021-11-12;114.03;1.5
9;2021-10-11;111.1;1.5
10;2021-09-10;122.96;1.5
11;2021-08-12;115.6;1.6
12;2021-07-12;123.89;2.0
13;2021-06-11;125.49;1.8
14;2021-05-12;122.3;1.8
15;2021-04-12;118.0;1.5
16;2021-03-12;118.58;1.25
17;2021-02-12;123.0;1.25
18;2021-01-15;118.5;1.5
19;2020-12-11;118.78;1.85
20;2020-11-12;115.24;1.31
21;2020-10-09;114.11;1.0
22;2020-09-11;112.4;0.97
23;2020-08-12;107.19;0.92
24;2020-07-10;100.4;0.6
25;2020-06-12;100.0;0.7
26;2020-05-12;93.67;0.71
27;2020-04-09;90.0;0.83
28;2020-03-12;99.61;0.8
29;2020-02-12;115.99;1.29
30;2020-01-10;114.99;0.93
31;2019-12-12;111.71;0.78
32;2019-11-12;110.0;0.78
33;2019-10-11;105.7;1.1
