;days;values;redimentos
0;2022-07-20;229.68;4.9824151
1;2022-03-18;270.0;2.48634405
2;2022-02-18;324.0;2.5307067
3;2022-01-20;340.05;2.49545195
4;2021-12-20;361.0;2.53573635
5;2021-11-19;333.88;3.42613805
6;2021-10-20;396.96;3.08494975
7;2021-09-20;414.88;3.08465735
8;2021-08-20;391.98;3.08384505
9;2021-07-20;418.0;3.0809867
10;2021-06-18;395.0;3.08304365
11;2021-05-20;400.0;3.0671158
12;2021-04-20;456.0;2.9569427
13;2021-03-19;478.38;2.97658165
14;2021-02-19;505.89;3.0839994
15;2021-01-20;484.0;3.0823059
16;2020-12-18;467.5;3.0697641
17;2020-11-20;431.0;3.0906886
18;2020-10-20;431.04;2.5971515
19;2020-09-18;436.73;2.6012141
20;2020-08-20;415.58;2.5540643
21;2020-07-20;424.0;2.70439625
22;2020-06-19;401.5;2.6292726
23;2020-05-20;413.79;2.6526438
24;2020-04-20;406.27;2.41227655
25;2020-03-20;356.0;2.6259376
26;2020-02-20;438.83;2.6539428
27;2020-01-20;462.47;2.650381
28;2019-12-20;438.0;2.65030395
29;2019-11-19;412.0;2.6360009
30;2019-10-18;392.54;2.5676652
31;2019-09-20;387.85;2.564629
32;2019-08-20;378.98;2.565309
33;2019-07-19;358.0;2.566035
34;2019-06-19;383.4;2.46021515
35;2019-05-20;388.01;2.40069335
36;2019-04-18;367.7;2.5206252
37;2019-03-20;338.5;2.5385474
38;2019-02-20;315.01;2.5605028
39;2019-01-18;304.8;2.60022415
40;2018-12-20;302.33;1.77410825
41;2018-11-23;314.9;2.5321096
42;2018-11-23;314.9;2.5321096
43;2018-10-19;317.97;2.31082
44;2018-09-20;315.88;2.310034
45;2018-08-20;314.0;2.30869775
46;2018-07-20;317.0;2.32466485
47;2018-06-20;289.5;2.18788775
48;2018-05-18;342.0;2.2572085
49;2018-04-20;363.0;2.2750711
50;2018-03-20;347.01;2.31339315
51;2018-02-21;329.52;2.2954225
52;2018-01-19;341.5;2.27912095
53;2017-12-20;345.02;2.2106896
54;2017-11-21;370.0;2.23756255
55;2017-10-20;360.0;2.31571325
56;2017-09-20;355.0;2.3525587
57;2017-08-18;329.8;2.35622705
58;2017-07-20;300.0;2.36465275
59;2017-06-20;291.5;2.25358015
60;2017-04-20;344.99;2.30066365
61;2017-03-20;308.0;2.3233038
62;2017-02-20;299.13;2.3628195
63;2017-01-20;295.99;2.28030895
64;2016-12-20;261.0;2.407922
65;2016-11-18;259.01;2.339183
66;2016-09-20;245.0;2.12805555
