;days;values;redimentos
0;2022-09-15;78.9;0.65
1;2022-07-14;69.79;0.62
2;2022-06-14;71.05;0.62
3;2022-05-13;70.98;0.62
4;2022-04-14;74.13;0.62
5;2022-03-15;68.6;0.58
6;2022-02-14;72.27;0.58
7;2022-01-14;76.86;0.58
8;2021-12-14;70.64;0.55
9;2021-11-16;69.11;0.55
10;2021-10-15;73.96;0.5
11;2021-09-15;76.15;0.5
12;2021-08-13;75.6;0.5
13;2021-07-15;83.31;0.5
14;2021-06-15;82.11;0.5
15;2021-05-14;86.59;0.55
16;2021-04-15;90.39;0.55
17;2021-03-12;91.42;0.55
18;2021-02-12;94.21;0.55
19;2021-01-15;93.69;0.9
20;2020-12-14;90.0;0.55
21;2020-11-16;92.23;0.55
22;2020-10-15;96.45;0.55
23;2020-09-15;101.98;0.55
24;2020-08-14;100.01;0.55
25;2020-07-14;98.0;0.55
26;2020-06-12;104.6;0.5
27;2020-05-15;88.0;0.55
28;2020-04-15;92.2;0.55
29;2020-03-13;92.7;0.6
30;2020-02-14;112.0;0.6
31;2020-01-15;117.25;1.05
32;2019-12-13;105.5;0.44
33;2019-11-14;102.38;0.44
34;2019-10-14;102.85;0.3
35;2019-09-13;102.99;0.11
