;days;values;redimentos
0;2022-09-08;68.49;0.44
1;2022-08-05;65.94;0.5633
2;2022-07-07;67.97;0.22
3;2022-06-07;69.7;0.36
4;2022-05-06;70.1;0.36
5;2022-04-07;70.79;0.36
6;2022-03-08;71.47;0.36
7;2022-02-07;72.4;0.37
8;2022-01-07;73.89;0.55
9;2021-12-07;73.75;0.55
10;2021-11-08;73.15;0.48768
11;2021-10-07;77.0;0.45688
12;2021-09-08;77.94;0.46445
13;2021-08-06;79.02;0.44176
14;2021-07-07;81.04;0.55911
15;2021-06-08;80.49;0.53682
16;2021-05-07;79.95;0.55207
17;2021-04-08;81.5;0.563
18;2021-03-05;84.46;0.5578
19;2021-02-05;85.38;0.5633
20;2021-01-08;88.78;0.5417
21;2020-12-08;89.7;0.5113
22;2020-11-09;84.53;0.5716
23;2020-10-07;79.5;0.5716
