;days;values;redimentos
0;2022-09-15;96.21;0.69
1;2022-07-14;84.45;0.65
2;2022-06-14;84.99;0.65
3;2022-05-13;87.01;0.63
4;2022-04-14;89.24;0.63
5;2022-03-15;88.0;0.63
6;2022-02-14;91.0;0.63
7;2022-01-14;92.73;0.58
8;2021-12-14;86.53;0.58
9;2021-11-16;81.4;0.58
10;2021-10-15;90.96;0.58
11;2021-09-15;92.1;0.58
12;2021-08-13;96.63;0.58
13;2021-07-07;99.92;0.58
14;2021-06-08;104.07;0.58
15;2021-05-07;107.0;0.58
16;2021-04-08;108.5;0.58
17;2021-03-12;107.98;0.58
18;2021-02-12;113.95;0.58
19;2021-01-15;112.8;0.31
