;days;values;redimentos
0;2022-08-16;66.41;0.29648528
1;2022-07-18;63.05;0.47663926
2;2022-06-17;60.98;0.5
3;2022-05-17;58.5;0.5
4;2022-04-19;58.5;0.5
5;2022-03-17;57.45;0.5
6;2022-02-16;58.89;0.5
7;2022-01-18;59.69;0.5
8;2021-12-16;59.66;0.52
9;2021-11-18;58.89;0.52
10;2021-10-19;63.5;0.5
11;2021-09-17;65.89;0.5
12;2021-08-17;65.9;0.7
13;2021-07-19;68.61;0.338468727
14;2021-06-17;69.33;0.5
15;2021-05-18;68.25;0.35
16;2021-04-19;71.5;0.39
17;2021-03-16;74.37;0.42
18;2021-02-18;77.76;0.375739837
19;2021-01-19;78.0;0.357980159
20;2020-12-16;77.36;0.48
21;2020-11-18;78.0;0.48
22;2020-10-19;78.29;0.5
23;2020-09-17;72.96;0.346785194
24;2020-08-18;71.24;0.329931196
25;2020-07-16;75.0;0.447033349
26;2020-06-17;78.89;0.5
27;2020-05-19;72.2;0.238288851
28;2020-04-17;76.39;0.241294172
29;2020-03-17;84.7;0.703196982
30;2020-02-18;102.2;1.0
31;2020-01-17;103.01;0.968252931
32;2019-12-17;95.36;0.347503348
33;2019-11-19;97.0;0.271336591
34;2019-10-16;93.0;0.120146006
