;days;values;redimentos
0;2022-09-15;85.0;0.49
1;2022-07-14;75.99;0.49
2;2022-06-22;78.63;0.49
3;2022-05-20;76.92;0.49
4;2022-04-25;77.28;0.489
5;2022-03-22;72.68;0.53
6;2022-02-21;76.51;0.53
7;2022-01-21;78.4;0.53
8;2021-11-23;68.08;0.53
9;2021-10-22;75.01;0.53
10;2021-09-22;79.64;0.53
11;2021-08-20;83.2;0.53
12;2021-07-21;92.8;0.53
13;2021-06-22;89.67;0.53
14;2021-05-21;89.87;0.53
15;2021-04-23;93.09;0.53
16;2021-03-19;91.79;0.53
17;2021-02-23;97.79;0.53
18;2021-01-22;98.91;0.56
19;2020-12-21;96.21;0.53
20;2020-11-23;95.77;0.53
21;2020-10-22;97.89;0.53
22;2020-09-22;99.33;0.52
23;2020-08-21;98.65;0.5
24;2020-07-21;100.8;0.46
25;2020-06-22;100.92;0.46
26;2020-05-22;95.08;0.38
27;2020-04-23;102.2;0.37
28;2020-03-20;88.7;0.44
29;2020-02-21;121.45;0.47
30;2020-01-22;117.1;0.47
31;2019-12-20;123.0;0.53
32;2019-11-22;114.69;0.57
33;2019-10-21;109.19;0.62
34;2019-09-20;113.0;0.62
35;2019-08-21;109.03;0.62
36;2019-07-22;111.1;0.62
37;2019-06-24;110.5;0.6
38;2019-05-22;108.78;0.58
39;2019-04-22;108.1;0.57
40;2019-03-25;105.61;0.57
41;2019-02-21;105.7;0.57
42;2019-01-22;104.0;0.56
43;2018-12-21;98.78;0.6
44;2018-11-23;97.99;0.53
45;2018-10-22;97.98;0.5
46;2018-09-24;101.5;0.51
47;2018-08-21;102.23;0.55
48;2018-07-20;102.42;0.54
49;2018-06-21;101.5;0.54
50;2018-05-22;103.11;0.52
51;2018-04-20;107.95;0.54
52;2018-03-21;105.36;0.55
53;2018-02-23;105.89;0.6
54;2018-01-22;105.43;0.62
55;2017-12-21;100.0;0.58
56;2017-11-24;98.6;0.56
57;2017-10-23;99.7;0.65
58;2017-09-22;96.37;0.7
59;2017-08-21;99.78;0.7
60;2017-07-21;99.4;1.05
61;2017-06-22;100.59;0.72
62;2017-05-22;100.48;0.66
63;2017-04-25;99.51;0.83
64;2017-03-21;94.7;0.83
65;2017-02-21;94.75;0.93
66;2017-01-20;95.74;0.89
67;2016-12-21;97.7;0.86
68;2016-11-23;100.8;0.9
69;2016-10-24;100.35;0.92
70;2016-09-22;98.51;0.95
