;days;values;redimentos
0;2022-01-18;102.24;
1;2022-01-19;104.65;
2;2022-01-20;105.0;
3;2022-01-21;106.5;
4;2022-01-24;107.7;
5;2022-01-25;107.7;
6;2022-01-26;107.7;
7;2022-01-27;108.48;
8;2022-01-28;108.6;
9;2022-01-31;109.18;
10;2022-02-01;107.5;
11;2022-02-02;105.0;
12;2022-02-03;107.0;
13;2022-02-04;106.0;
14;2022-02-07;105.0;
15;2022-02-08;105.96;
16;2022-02-09;106.02;
17;2022-02-10;106.48;
18;2022-02-11;106.65;
19;2022-02-14;107.82;
20;2022-02-15;108.3;
21;2022-02-16;106.03;
22;2022-02-17;106.0;
23;2022-02-18;107.03;
24;2022-02-21;106.24;
25;2022-02-22;107.07;
26;2022-02-23;107.0;
27;2022-02-24;106.51;
28;2022-02-25;107.0;
29;2022-03-02;106.5;
30;2022-03-03;105.68;
31;2022-03-04;105.98;
32;2022-03-07;106.96;
33;2022-03-08;107.78;
34;2022-03-09;108.0;
35;2022-03-10;106.78;
36;2022-03-11;107.99;
37;2022-03-14;108.18;
38;2022-03-15;107.42;
39;2022-03-16;109.4;
40;2022-03-17;108.48;
41;2022-03-18;108.4;
42;2022-03-21;108.25;
43;2022-03-22;108.5;
44;2022-03-23;108.9;
45;2022-03-24;108.9;
46;2022-03-25;108.9;
47;2022-03-28;108.62;
48;2022-03-29;109.99;
49;2022-03-30;110.0;
50;2022-03-31;109.85;
51;2022-04-01;108.85;
52;2022-04-04;109.4;
53;2022-04-05;109.38;
54;2022-04-06;109.3;
55;2022-04-07;108.95;
56;2022-04-08;109.0;
57;2022-04-11;109.27;
58;2022-04-12;108.51;
59;2022-04-13;108.8;
60;2022-04-14;108.5;
61;2022-04-18;112.89;
62;2022-04-19;109.0;
63;2022-04-20;109.5;
64;2022-04-22;109.0;
65;2022-04-25;110.25;
66;2022-04-26;110.97;
67;2022-04-27;110.1;
68;2022-04-28;111.01;
69;2022-04-29;112.87;
70;2022-05-02;109.68;
71;2022-05-03;108.9;
72;2022-05-04;109.61;
73;2022-05-05;109.79;
74;2022-05-06;109.5;
75;2022-05-09;109.0;
76;2022-05-10;108.51;
77;2022-05-11;108.5;
78;2022-05-12;108.5;
79;2022-05-13;107.93;
80;2022-05-16;107.67;
81;2022-05-17;107.8;
82;2022-05-18;104.07;
83;2022-05-19;104.15;
84;2022-05-20;104.59;
85;2022-05-23;105.2;
86;2022-05-24;104.91;
87;2022-05-25;104.82;
88;2022-05-26;105.88;
89;2022-05-27;106.0;
90;2022-05-30;108.35;
91;2022-05-31;108.5;
92;2022-06-01;107.04;
93;2022-06-02;106.6;
94;2022-06-06;105.38;
95;2022-06-07;106.14;
96;2022-06-09;105.81;
97;2022-06-10;106.06;
98;2022-06-13;105.66;
99;2022-06-14;109.99;
100;2022-06-15;109.79;
101;2022-06-17;108.8;
102;2022-06-20;108.5;
103;2022-06-21;109.9;
104;2022-06-22;108.77;
105;2022-06-23;109.25;
106;2022-06-27;108.85;
107;2022-06-28;109.3;
108;2022-06-29;109.0;
109;2022-06-30;107.61;
110;2022-07-04;106.51;
111;2022-07-05;106.87;
112;2022-07-06;108.39;
113;2022-07-07;109.29;
114;2022-07-08;105.34;
115;2022-07-11;105.34;
116;2022-07-12;106.21;
117;2022-07-13;107.07;
118;2022-07-14;106.63;
119;2022-07-15;106.9;
120;2022-07-18;106.5;
121;2022-07-19;106.88;
122;2022-07-20;106.77;
123;2022-07-21;106.99;
124;2022-07-22;106.99;
125;2022-07-25;107.02;
126;2022-07-26;107.22;
127;2022-07-27;106.5;
128;2022-07-28;106.48;
129;2022-08-02;105.2;
130;2022-08-03;105.39;
131;2022-08-04;105.74;
132;2022-08-05;105.86;
133;2022-08-08;105.6;
134;2022-08-09;106.0;
135;2022-08-10;105.99;
136;2022-08-11;106.0;
137;2022-08-15;105.6;
138;2022-08-16;106.5;
139;2022-08-17;106.65;
140;2022-08-18;107.0;
141;2022-08-19;107.0;
142;2022-08-22;107.0;
143;2022-08-23;106.98;
144;2022-08-24;106.89;
145;2022-08-25;106.68;
146;2022-08-26;106.85;
147;2022-08-29;106.84;
148;2022-08-30;106.77;
149;2022-08-31;106.98;
150;2022-09-01;106.99;
151;2022-09-02;106.96;
152;2022-09-05;106.98;
153;2022-09-06;106.85;
154;2022-09-08;106.9;
155;2022-09-12;107.0;
156;2022-09-13;106.85;
157;2022-09-14;107.0;
158;2022-09-15;106.97;
159;2022-09-16;106.71;
160;2022-09-19;107.0;
161;2022-09-20;107.78;
