;days;values;redimentos
0;2022-09-14;97.21;0.76
1;2022-08-11;95.75;1.16
2;2022-07-13;97.0;1.28
3;2022-06-13;104.07;1.75
4;2022-05-12;102.08;1.55
5;2022-04-13;102.48;1.21
6;2022-03-14;102.0;1.1
7;2022-02-11;103.42;1.3
8;2022-01-13;106.37;1.5
9;2021-12-13;106.5;1.51
10;2021-11-12;105.02;1.35
11;2021-10-14;105.5;1.07
12;2021-09-14;109.35;1.31
13;2021-08-12;107.47;1.2
14;2021-07-13;110.96;1.1
15;2021-06-14;111.71;1.09
16;2021-05-13;109.7;1.2
17;2021-04-14;114.2;1.12
18;2021-03-11;114.29;1.29
19;2021-02-11;113.33;1.42
20;2021-01-14;111.5;1.23
21;2020-12-11;111.75;1.04
22;2020-11-13;110.6;0.83
23;2020-10-14;110.37;0.64
24;2020-09-14;109.89;0.65
25;2020-08-13;108.16;0.45
26;2020-07-13;107.0;0.32
27;2020-06-12;108.0;0.3
28;2020-05-14;105.05;0.5
29;2020-04-14;105.99;0.7
30;2020-03-12;112.0;0.9
31;2020-02-13;115.95;1.0
32;2020-01-14;119.1;0.83
33;2019-12-12;117.0;0.38
34;2019-11-13;114.0;0.58
35;2019-10-11;112.0;0.66
36;2019-09-12;114.0;0.7
37;2019-08-13;117.0;0.62
38;2019-07-11;136.45;0.67
39;2019-06-13;122.86;0.96
40;2019-05-14;114.59;1.0
41;2019-04-11;109.99;0.73
42;2019-03-15;109.5;0.64
43;2019-02-13;109.51;0.49
44;2019-01-14;109.3;0.36
45;2018-12-13;107.5;0.56
46;2018-11-14;110.0;0.57
47;2018-10-11;104.5;0.32
48;2018-09-14;106.0;0.42
49;2018-08-13;105.0;0.11
