;days;values;redimentos
0;2022-09-14;85.21;0.7
1;2022-08-11;87.0;0.91
2;2022-07-13;91.84;1.09
3;2022-06-13;92.56;1.35
4;2022-05-12;91.45;1.14
5;2022-04-13;94.25;1.12
6;2022-03-14;93.51;1.0
7;2022-02-11;96.77;1.25
8;2022-01-13;100.8;1.45
9;2021-12-13;98.37;1.4
10;2021-11-12;96.11;1.3
11;2021-10-14;99.5;1.24
12;2021-09-14;98.5;1.15
13;2021-08-12;100.4;1.0
14;2021-07-13;101.51;0.95
15;2021-06-14;101.71;1.0
16;2021-05-13;104.36;0.93
17;2021-04-14;102.71;0.91
18;2021-03-11;105.39;1.08
19;2021-02-11;106.53;1.28
20;2021-01-14;98.51;0.88
21;2020-12-11;96.33;0.48
