;days;values;redimentos
0;2022-09-08;91.99;0.91
1;2022-09-05;92.0;0.36
2;2022-08-05;92.0;0.35
3;2022-04-07;86.8;0.6
4;2022-03-08;89.5;0.73
5;2022-02-07;90.0;0.36
6;2021-11-08;94.97;0.5
7;2021-10-07;94.82;0.51
8;2021-09-08;93.01;0.58
9;2021-08-06;94.99;0.56
10;2021-07-07;91.99;0.37
11;2021-06-08;95.0;0.24
12;2021-05-07;95.0;0.2
13;2021-04-08;95.0;0.48
14;2021-03-05;96.0;0.52
15;2021-01-08;98.16;0.71
16;2020-10-08;94.15;0.27
17;2020-09-08;99.99;0.2
18;2020-08-07;92.0;0.15
19;2020-07-15;89.0;0.17
20;2020-05-18;94.99;0.15
