;days;values;redimentos
0;2022-09-15;85.46;0.62
1;2022-07-14;76.3;0.62
2;2022-06-14;76.19;0.6
3;2022-05-13;76.66;0.6
4;2022-04-14;78.9;0.6
5;2022-03-15;79.85;0.6
6;2022-02-14;80.3;0.59
7;2022-01-14;82.39;0.59
8;2021-12-14;79.45;0.58
9;2021-11-16;75.81;0.55
10;2021-10-15;83.85;0.55
11;2021-09-15;84.62;0.55
12;2021-08-13;85.0;0.54
13;2021-07-15;89.81;0.54
14;2021-06-15;92.28;0.54
15;2021-05-14;93.5;0.57
16;2021-04-15;93.0;0.55
17;2021-03-15;96.7;0.49
18;2021-02-12;98.22;0.5
19;2021-01-15;99.0;0.33
20;2020-12-15;99.98;0.54
21;2020-11-13;103.0;0.55
22;2020-10-15;100.4;0.53
23;2020-09-15;100.14;0.52
24;2020-08-14;99.86;0.44
25;2020-07-15;100.03;0.47
26;2020-06-15;98.99;0.47
27;2020-05-15;99.0;0.48
28;2020-04-15;96.84;0.45
29;2020-03-13;99.05;0.458351
30;2020-02-14;104.77;0.15505464
31;2020-01-15;112.9;0.0386859408
