;days;values;redimentos
0;2022-09-15;669.0;10.0
1;2022-08-15;665.02;10.0
2;2022-07-15;547.98;10.0
3;2022-06-15;514.0;10.0
4;2022-05-13;700.1;10.0
5;2022-04-14;700.15;9.5
6;2022-03-15;719.38;9.5
7;2022-02-15;690.0;9.5
8;2022-01-14;680.0;9.5
9;2021-12-15;750.0;10.5
10;2021-11-12;702.0;7.5
11;2021-10-15;768.0;7.5
12;2021-09-15;821.0;7.5
13;2021-08-13;841.0;7.5
14;2021-07-15;892.0;7.2
15;2021-06-15;880.0;7.15
16;2021-05-14;856.0;7.15
17;2021-04-15;790.0;7.15
18;2021-03-15;828.0;6.9
19;2021-02-12;893.49;6.9
20;2021-01-15;955.0;6.9
21;2020-12-15;998.0;6.9
22;2020-11-13;1059.0;6.9
23;2020-10-15;1267.98;9.0
24;2020-09-15;1271.99;9.0
25;2020-08-14;1247.98;9.0
26;2020-07-15;1298.9;9.0
27;2020-06-15;1275.0;9.0
28;2020-05-15;1193.0;8.5
29;2020-04-15;1080.0;8.5
30;2020-03-13;1100.0;8.5
31;2020-02-14;1265.0;8.5
32;2020-01-15;1383.5;8.5
33;2019-12-13;1293.99;8.5
34;2019-11-14;1233.99;8.5
35;2019-10-15;1219.0;8.5
36;2019-09-13;1184.4;8.5
37;2019-08-15;1188.01;8.5
38;2019-07-15;1255.0;8.5
39;2019-06-14;1240.01;8.5
40;2019-05-15;1210.0;8.5
41;2019-04-15;1158.0;8.5
42;2019-03-15;1152.99;8.0
43;2019-02-15;1114.98;8.0
44;2019-01-15;1107.0;8.0
45;2018-12-14;1049.03;8.0
46;2018-11-14;1032.0;8.0
47;2018-10-15;1010.0;8.0
48;2018-09-14;1001.0;8.0
49;2018-08-15;1008.54;8.0
50;2018-07-13;998.94;8.0
51;2018-06-15;1000.0;8.0
52;2018-05-15;1084.0;8.0
53;2018-04-13;1100.1;8.0
54;2018-03-15;1096.0;8.0
55;2018-02-15;1073.0;8.0
56;2018-01-24;1065.0;137.86
57;2018-01-15;1128.6;8.0
58;2017-12-15;1050.0;7.79
59;2017-11-14;1082.0;7.79
60;2017-09-15;1085.0;7.79
61;2017-08-15;1020.53;7.79
62;2017-07-14;996.99;7.79
63;2017-06-14;994.0;7.79
64;2017-05-15;974.1;7.79
65;2017-04-13;980.0;7.79
66;2017-02-15;935.0;7.3
67;2017-01-13;895.0;7.3
68;2016-12-15;853.1;7.3
69;2016-09-15;830.0;7.3
