;days;values;redimentos
0;2022-09-15;92.75;1.35
1;2022-07-14;94.88;1.473762686
2;2022-06-14;95.26;1.538980765
3;2022-05-13;97.99;1.468967826
4;2022-02-14;91.29;1.31
5;2022-01-14;93.39;0.930069744
6;2021-12-14;91.38;1.060271683
7;2021-11-16;90.0;1.239515239
8;2021-10-15;93.2;0.883477194
9;2021-09-15;92.45;0.897293667
10;2021-08-13;92.93;0.862252182
11;2021-07-15;94.99;0.870234487
12;2021-06-15;95.51;0.91101
13;2021-05-14;95.9;0.65401
14;2021-04-15;100.0;0.934625332
15;2021-03-12;97.95;0.702353369
16;2021-02-12;108.4;1.248726848
17;2021-01-15;98.8;1.088435803
18;2020-12-14;92.9;1.203581518
19;2020-11-16;92.99;0.519284512
20;2020-10-15;93.2;0.320843088
21;2020-09-15;93.0;1.002446097
