;days;values;redimentos
0;2022-08-08;10.4;0.0772089626
1;2022-07-08;10.5;0.0761909431
2;2022-05-09;11.8;0.0811680313
3;2022-04-08;11.9;0.0765158218
4;2022-03-09;11.59;0.0769236627
5;2022-02-08;12.0;0.0786484037
6;2022-01-31;11.81;0.0243725037
7;2022-01-10;11.84;0.07728197
8;2021-12-08;11.54;0.07739329
9;2021-11-09;11.64;0.0769118728746297
10;2021-10-08;12.29;0.0696517325
11;2021-09-09;12.14;0.06804299
12;2021-08-09;13.0;0.0698488809032052
13;2021-07-08;12.01;0.0701025695818153
14;2021-06-09;13.91;0.0701397206195881
15;2021-05-10;14.84;0.06922909
16;2021-04-09;15.01;0.070233771332388
17;2021-03-08;14.28;0.0697942722889718
18;2021-02-08;17.03;0.0708656929114396
19;2021-01-11;14.87;0.0923763327478265
20;2020-12-29;14.25;0.168696922074048
21;2020-12-08;12.66;0.0703732242902161
22;2020-11-10;12.0;0.0704914846495203
23;2020-10-08;12.51;0.0617059962453906
24;2020-09-09;13.47;0.0595882844352463
25;2020-08-10;13.55;0.0593945
26;2020-07-08;13.78;0.0609144716674478
27;2020-06-08;11.74;0.0584633951064494
28;2020-05-11;12.12;0.0584884380655995
29;2020-04-08;11.5;0.0596865326406606
30;2020-03-09;10.41;0.0593310461
31;2020-01-09;13.8;0.0597259078870484
32;2019-12-09;12.71;0.059666808106986
33;2019-11-08;12.99;0.0596955302762414
34;2019-10-08;12.35;0.0577223231377897
35;2019-09-09;20.0;0.0587949588959354
36;2019-08-08;26.29;0.0575312310617742
37;2019-07-08;29.14;0.0587965492764578
38;2019-06-10;31.0;0.0586414615019791
39;2019-05-09;32.4;0.0576601288720433
40;2019-04-08;33.17;0.05776237
41;2019-03-12;30.0;0.0567355192670803
42;2019-02-08;29.0;0.0576167620593568
43;2019-01-09;30.88;0.0687382979214343
44;2018-12-10;25.05;0.0528515185
45;2018-11-09;28.01;0.0526027717
46;2018-10-08;33.99;0.0523867435
47;2018-09-11;32.5;0.0524450404
48;2018-08-08;58.0;0.0521645694
49;2018-07-10;10.0;0.0630256311
50;2018-06-08;8.8;0.0510799141
51;2018-05-09;8.08;0.0510799141
