;days;values;redimentos
0;2022-09-15;171.0;0.92
1;2022-08-15;162.15;0.92
2;2022-07-15;159.04;0.92
3;2022-06-15;158.5;0.92
4;2022-05-13;156.7;0.92
5;2022-04-14;155.5;0.9
6;2022-03-15;148.3;0.9
7;2022-02-15;149.31;0.9
8;2022-01-14;136.3;0.86
9;2021-12-15;134.51;0.73
10;2021-11-12;144.25;0.73
11;2021-10-15;146.0;0.73
12;2021-09-15;144.1;0.73
13;2021-08-13;141.02;0.73
14;2021-07-15;140.28;0.73
15;2021-06-15;140.02;0.64
16;2021-05-14;140.01;0.64
17;2021-04-15;138.58;0.64
18;2021-03-15;139.0;0.64
19;2021-02-12;147.57;0.64
20;2021-01-15;146.1;0.64
21;2020-12-15;147.0;0.64
22;2020-11-13;147.02;0.64
23;2020-10-15;146.0;0.63
24;2020-09-15;151.4;0.63
25;2020-08-14;146.6;0.63
26;2020-07-15;149.0;0.62
27;2020-06-15;147.74;0.62
28;2020-05-15;143.89;0.62
29;2020-04-15;142.25;0.62
30;2020-03-13;156.4;0.62
31;2020-02-14;166.76;0.62
32;2020-01-15;175.5;0.62
33;2019-12-13;176.82;0.62
34;2019-11-14;181.9;0.62
35;2019-10-15;144.96;0.62
36;2019-09-13;149.0;0.62
37;2019-08-15;147.01;0.72
38;2019-07-15;148.26;0.72
39;2019-06-14;142.0;0.72
40;2019-05-15;144.95;0.72
41;2019-04-15;145.0;0.72
42;2019-03-15;142.99;0.72
43;2019-02-15;142.0;0.72
44;2019-01-15;144.94;0.72
45;2018-12-14;132.0;0.72
46;2018-11-14;127.5;0.67
47;2018-10-15;119.99;0.67
48;2018-09-14;125.0;0.67
49;2018-08-15;126.73;0.67
50;2018-07-13;121.0;0.67
51;2018-06-15;125.0;0.67
52;2018-05-15;133.5;0.67
53;2018-04-13;1319.99;0.665
54;2018-03-15;1207.49;0.665
55;2018-02-15;1160.5;0.665
56;2018-01-15;1223.0;0.665
57;2017-12-15;1190.0;0.65
58;2017-11-14;1210.0;0.65
59;2017-10-13;1280.0;0.65
60;2017-08-15;1035.0;0.65
61;2017-07-14;1060.0;0.65
62;2017-06-14;1084.5;0.6
63;2017-03-15;1026.01;0.57
64;2016-12-15;920.0;0.64
65;2016-10-14;865.0;0.39
