;days;values;redimentos
0;2022-08-19;67.95;0.7500000992
1;2022-07-21;63.7;0.7500004188
2;2022-06-22;64.65;0.7500001322
3;2022-05-20;64.45;0.7200001929
4;2022-04-25;66.23;0.700000044
5;2022-03-22;64.69;0.6800000165
6;2022-02-21;64.48;0.6800002755
7;2022-01-21;70.16;0.6700001322
8;2021-11-22;63.09;0.6500000331
9;2021-10-22;68.25;0.650000011
10;2021-09-22;72.1;0.6500003858
11;2021-08-20;73.97;0.6500000937
12;2021-07-21;81.87;0.6500004354
13;2021-06-22;82.59;0.6500000826
14;2021-05-21;83.97;0.7000000055
15;2021-04-23;83.5;0.7000008322
16;2021-03-19;83.0;0.6000001543
17;2021-02-23;84.7;0.5800000165
18;2021-01-22;85.39;0.9206462639
19;2020-12-21;81.5;0.5500001212
20;2020-11-23;83.2;0.4800001322
21;2020-10-22;85.0;0.450001003
22;2020-09-22;82.5;0.43000101
23;2020-08-21;85.53;0.4000011167
24;2020-07-21;92.0;0.8378013931
25;2020-06-22;102.5;0.7578979985
26;2020-05-22;93.99;0.7500509978
27;2020-04-23;87.0;0.7
28;2020-03-20;70.02;0.71917912
29;2020-02-21;103.65;0.7
30;2020-01-22;105.0;0.67
31;2019-12-20;98.0;0.55
32;2019-11-25;95.5;0.5
33;2019-10-21;94.3;0.48
34;2019-09-20;95.6;0.45
35;2019-08-21;94.26;0.45
