;days;values;redimentos
0;2004-03-05;156.69;
1;2004-12-30;138.52;
2;2005-03-03;137.0;
3;2005-04-13;150.0;
4;2005-04-22;148.0;
5;2005-04-25;148.0;
6;2005-05-02;148.0;
7;2006-01-10;179.0;
8;2006-02-10;169.0;
9;2006-03-17;135.0;
10;2006-03-24;135.0;
11;2006-04-24;170.0;
12;2006-05-17;165.0;
13;2006-08-09;175.0;
14;2006-08-10;200.0;
15;2006-08-25;175.0;
16;2006-11-14;210.0;
17;2006-11-17;230.0;
18;2006-11-22;230.0;
19;2006-11-28;230.01;
20;2006-12-08;230.0;
21;2006-12-12;230.0;
22;2006-12-14;230.0;
23;2006-12-18;230.0;
24;2007-01-23;229.99;
25;2007-02-12;227.99;
26;2007-02-27;210.0;
27;2007-04-16;180.0;
28;2007-06-08;200.0;
29;2007-06-12;199.98;
30;2007-06-13;199.99;
31;2007-06-14;199.98;
32;2007-06-15;199.98;
33;2007-06-18;200.0;
34;2007-06-19;280.0;
35;2007-06-20;295.0;
36;2007-07-02;270.0;
37;2007-07-13;265.0;
38;2007-08-06;185.0;
39;2007-08-14;200.0;
40;2007-10-08;199.01;
41;2007-10-09;210.0;
42;2007-11-06;229.0;
43;2007-11-27;230.0;
44;2007-12-07;220.0;
45;2008-01-29;230.0;
46;2008-03-26;225.0;
47;2008-10-20;210.07;
48;2008-10-30;210.0;
49;2009-04-15;190.0;
50;2009-04-20;190.0;
51;2009-04-27;170.0;
52;2009-04-28;170.0;
53;2009-05-06;170.0;
54;2009-05-13;165.0;
55;2009-06-25;150.0;
56;2009-07-06;170.99;
57;2009-09-01;176.01;
58;2009-09-15;190.0;
59;2009-09-16;189.0;
60;2009-09-18;200.0;
61;2009-10-27;180.01;
62;2009-11-25;170.01;
63;2009-12-07;200.01;
64;2009-12-09;170.0;
65;2009-12-30;200.0;
66;2010-01-06;200.0;
67;2010-01-07;232.0;
68;2010-01-08;235.0;
69;2010-01-11;206.01;
70;2010-01-12;194.5;
71;2010-01-13;211.0;
72;2010-01-15;220.0;
73;2010-01-19;220.0;
74;2010-01-20;220.0;
75;2010-01-21;220.0;
76;2010-01-22;220.0;
77;2010-02-02;219.9;
78;2010-02-03;220.0;
79;2010-02-04;220.0;
80;2010-02-09;217.0;
81;2010-02-10;217.0;
82;2010-02-11;217.0;
83;2010-02-12;220.0;
84;2010-02-17;220.0;
85;2010-02-19;220.0;
86;2010-02-22;219.0;
87;2010-02-24;220.0;
88;2010-02-25;232.0;
89;2010-03-01;220.0;
90;2010-03-09;190.5;
91;2010-03-11;217.99;
92;2010-03-12;194.44;
93;2010-03-16;215.98;
94;2010-03-18;191.0;
95;2010-03-24;209.0;
96;2010-03-26;210.0;
97;2010-03-29;208.99;
98;2010-03-30;209.0;
99;2010-03-31;195.01;
100;2010-04-07;190.0;
101;2010-04-09;192.0;
