;days;values;redimentos
0;2022-08-08;72.12;0.58
1;2022-07-08;72.0;0.58
2;2022-05-09;74.6;0.58
3;2022-04-08;79.16;0.58
4;2022-03-09;74.9;0.58
5;2022-02-08;72.93;0.58
6;2022-01-10;73.6;0.57
7;2021-12-08;69.3;0.57
8;2021-11-09;64.95;0.57
9;2021-10-08;70.83;0.57
10;2021-09-09;73.69;0.57
11;2021-08-09;79.6;0.57
12;2021-07-08;82.0;0.57065
13;2021-06-09;89.73;0.57
14;2021-05-10;93.24;0.57
15;2021-04-09;90.9;0.57
16;2021-03-08;92.08;0.56
17;2021-02-08;92.9;0.55
18;2021-01-11;93.95;0.54
19;2020-12-08;92.81;0.53
20;2020-11-10;94.51;0.52
21;2020-10-08;96.23;0.49
22;2020-09-09;98.23;0.08
