;days;values;redimentos
0;2022-09-15;86.26;1.19
1;2022-07-14;82.85;1.17
2;2022-06-14;85.51;1.15
3;2022-05-13;86.36;1.1
4;2022-04-14;88.46;1.05
5;2022-03-15;86.25;1.0
6;2022-02-14;87.5;1.05
7;2022-01-14;89.35;1.05
8;2021-12-14;87.39;1.0
9;2021-11-16;85.5;0.9
10;2021-10-15;89.9;1.0
11;2021-09-15;91.1;0.85
12;2021-08-13;92.24;0.8
13;2021-07-15;93.93;0.85
14;2021-06-15;96.0;0.95
15;2021-05-14;93.6;0.8
16;2021-04-15;94.49;0.8
17;2021-03-12;93.03;0.9
18;2021-02-12;93.9;0.75
19;2021-01-15;94.15;0.8
20;2020-12-14;83.21;0.67
21;2020-11-16;85.5;0.48
22;2020-10-15;83.0;0.46
23;2020-09-15;81.15;0.41
24;2020-08-14;78.8;0.33
25;2020-07-14;80.82;0.25
26;2020-06-12;81.99;0.25
27;2020-05-15;77.2;0.3
28;2020-04-15;83.47;0.3
29;2020-03-13;86.9;0.3
30;2020-02-14;89.0;0.2
31;2020-01-15;99.37;0.18
32;2019-12-13;96.9;0.21
