;days;values;redimentos
0;2022-09-08;96.9;0.56
1;2022-08-05;93.32;0.56
2;2022-07-07;89.05;0.56
3;2022-06-07;95.97;0.56
4;2022-05-06;92.03;0.56
5;2022-04-07;93.0;0.56
6;2022-03-08;87.6;0.56
7;2022-02-07;86.85;0.56
8;2022-01-07;89.0;0.56
9;2021-12-07;89.7;0.54
10;2021-11-08;86.4;0.56
11;2021-10-07;86.1;0.56
12;2021-09-08;90.7;0.56
13;2021-08-06;95.5;0.59
14;2021-07-07;94.96;0.56
15;2021-06-08;95.2;0.54
16;2021-05-07;96.3;0.5
17;2021-04-08;97.0;0.5
18;2021-03-05;95.35;0.5
19;2021-02-05;96.9;0.491035666
20;2021-01-08;96.1;0.47
21;2020-12-07;96.2;0.47
22;2020-11-09;99.1;0.48
23;2020-10-07;100.01;0.45
