;days;values;redimentos
0;2022-08-08;45.48;0.4
1;2022-07-08;46.05;0.4
2;2022-05-09;45.87;0.39
3;2022-04-08;48.99;0.385
4;2022-03-09;49.65;0.385
5;2022-02-08;49.62;0.385
6;2022-01-10;51.2;0.385
7;2021-12-08;49.49;0.385
8;2021-11-09;48.74;0.38
9;2021-10-08;49.99;0.375
10;2021-09-09;50.0;0.38
11;2021-08-09;51.1;0.38
12;2021-07-08;51.32;0.38
13;2021-06-09;52.79;0.38
14;2021-05-10;54.57;0.4
15;2021-04-09;53.05;0.403
16;2021-03-08;53.2;0.46
17;2021-02-19;56.07;38.0
18;2021-02-12;55.6;0.450250932
19;2021-01-15;92.5;0.45
20;2020-12-14;83.15;0.38
21;2020-11-16;83.94;0.37
22;2020-10-15;86.6;0.364161643
23;2020-09-15;84.11;0.296437686
24;2020-08-14;85.0;0.340537926
25;2020-07-14;84.49;0.2880138
26;2020-06-15;87.0;0.24674467
27;2020-05-15;78.0;0.27659857
28;2020-04-15;77.5;0.18800554
29;2020-03-13;85.0;0.094560422
30;2020-02-14;103.89;0.159336359
31;2020-01-15;108.5;0.17
