;days;values;redimentos
0;2022-09-15;56.12;0.5
1;2022-08-15;57.89;0.5
2;2022-07-15;55.0;0.52
3;2022-06-13;50.2;0.5
4;2022-05-13;50.69;0.48
5;2022-04-18;52.91;0.47
6;2022-03-15;51.0;0.47
7;2022-02-15;52.4;0.47
8;2022-01-14;56.79;0.47
9;2021-12-15;56.0;0.47
10;2021-11-12;52.49;0.47
11;2021-10-15;61.1;0.47
12;2021-09-15;61.22;0.47
13;2021-08-13;60.1;0.47
14;2021-07-15;66.84;0.47
15;2021-06-15;68.29;0.5
16;2021-05-14;69.0;0.5
17;2021-04-15;68.09;0.5
18;2021-03-15;68.0;0.36
19;2021-02-12;74.51;0.5
20;2021-01-15;73.99;0.55
21;2020-12-15;73.7;0.55
22;2020-11-13;73.09;0.55
23;2020-10-15;73.2;0.55
24;2020-09-15;73.05;0.55
25;2020-08-14;69.51;0.52
26;2020-07-15;69.7;0.43
27;2020-06-15;71.97;0.33
28;2020-05-15;67.76;0.3
29;2020-04-15;70.0;0.3
30;2020-03-13;92.1;0.65
31;2020-02-14;84.55;0.78
32;2020-01-15;109.76;2.82
33;2019-12-13;108.95;1.0
34;2019-11-14;95.96;0.6
35;2019-10-15;77.3;0.5
36;2019-09-16;83.39;0.2
37;2019-08-15;85.1;0.02
38;2019-07-15;85.5;0.41
39;2019-06-14;83.21;0.41
40;2019-05-15;86.13;0.41
41;2019-04-15;89.0;0.84
42;2019-03-15;84.49;0.41
43;2019-02-15;84.73;0.45
44;2019-01-15;83.98;0.48
45;2019-01-15;83.98;0.48
46;2018-12-14;86.9;0.48
47;2018-10-15;81.0;0.47
48;2018-09-14;77.16;0.53
49;2018-08-15;80.3;0.56
50;2018-07-13;78.37;0.42
51;2018-06-15;79.5;0.6
52;2018-05-15;84.49;0.42
53;2018-04-13;85.9;0.39
54;2018-03-15;90.0;0.42
55;2018-01-15;96.0;0.5
56;2018-01-15;96.0;0.63
57;2018-01-15;96.0;0.63
58;2017-12-15;94.8;0.61
59;2017-11-14;89.5;0.74
60;2017-10-13;85.84;0.57
61;2017-09-15;89.34;0.6
62;2017-08-15;87.0;0.58
63;2017-07-14;86.0;0.56
64;2017-06-14;87.0;0.55
65;2017-03-15;86.95;0.568389
66;2017-02-15;89.7;0.664269
67;2016-12-15;84.0;0.695375
68;2016-11-14;83.65;0.772846
