;days;values;redimentos
0;2021-12-14;28.3;0.16
1;2021-11-16;30.43;0.13
2;2021-10-15;34.0;0.13
3;2021-09-15;35.95;0.17
4;2021-08-13;36.95;0.12
5;2021-07-14;38.3;0.17478003
6;2021-06-15;37.02;0.02392484
7;2021-05-14;39.7;0.08
8;2021-03-12;39.63;0.28317694
9;2021-02-12;40.6;0.39966076
10;2021-01-15;39.5;0.4315279471
11;2020-07-14;40.9;0.04908054
12;2020-03-13;51.53;0.52969692
13;2020-02-14;62.8;0.36629955
14;2020-01-15;70.1;0.30930864
15;2019-12-13;54.8;0.28200545
16;2019-11-14;54.35;0.22739157
17;2019-10-14;48.5;0.25830214
18;2019-09-13;47.37;0.25951303
19;2019-08-14;43.63;0.22499706
20;2019-07-15;42.05;0.21163251
21;2019-06-14;41.3;0.14271775
22;2019-05-16;43.52;0.10255548
23;2019-04-12;44.59;0.17505776
24;2019-03-18;44.55;0.41041597
25;2019-02-14;43.0;0.18378121
26;2019-01-15;43.43;0.1420288
27;2018-12-14;41.35;0.098551979
28;2018-11-16;42.9;0.0976459957
29;2018-10-15;41.6;0.1630604855
30;2018-09-17;42.05;0.1202718862
31;2018-08-14;45.2;0.1692368491
32;2018-07-13;47.65;0.0857444249
33;2018-06-14;49.2;0.1916861967
34;2018-05-15;51.0;0.1370663822
35;2018-04-13;56.15;0.1495775139
36;2018-03-14;51.9;0.4291241466
37;2018-02-16;47.5;0.2737770408
38;2018-01-15;46.75;0.1439741991
39;2017-12-14;45.78;0.1581106555
40;2017-11-16;46.0;0.0528099134
41;2017-09-15;44.6;0.117177483
42;2017-08-14;42.05;0.1552240507
43;2017-07-14;40.75;0.150204431
44;2017-05-15;44.4;0.153084431
45;2017-04-17;44.11;0.2177236271
46;2017-03-14;43.2;0.4407505535
47;2017-02-14;36.29;0.240982919
48;2017-01-13;35.59;0.187042977736549
49;2016-12-14;33.3;0.147968070500928
50;2016-10-17;35.15;0.940622873166987
