;days;values;redimentos
0;2022-09-19;96.39;1.0
1;2022-07-18;97.6;1.266
2;2022-06-17;100.0;1.2
3;2022-05-17;100.8;1.2
4;2022-04-19;101.95;1.2
5;2022-03-17;101.31;1.1
6;2022-02-14;101.81;1.1
7;2022-01-18;99.59;1.07
8;2021-12-16;97.08;0.9
9;2021-11-18;96.1;0.9
10;2021-10-19;98.5;0.9
11;2021-09-17;98.1;0.8
12;2021-08-13;98.27;0.8
13;2021-07-19;99.41;0.9590247
14;2021-06-17;99.86;0.8
15;2021-05-18;100.7;0.725
16;2021-04-19;100.16;0.7
17;2021-03-16;97.5;0.62
18;2021-02-12;96.07;0.6
19;2021-01-19;93.92;0.6
20;2020-12-16;90.52;0.5
21;2020-11-18;96.95;0.5
22;2020-10-19;100.98;0.5
23;2020-09-17;101.0;0.5
24;2020-08-14;97.12;0.5
25;2020-07-16;99.01;0.55
26;2020-06-17;100.7;0.55
27;2020-05-19;92.27;0.55
28;2020-04-17;93.72;0.55
29;2020-03-17;86.5;0.6
30;2020-02-14;106.5;0.595951902
31;2020-01-17;109.9;0.6
32;2019-12-17;104.45;0.55
33;2019-11-19;104.85;0.545817751
34;2019-10-16;103.05;0.63
35;2019-09-17;103.95;0.6
36;2019-08-16;105.98;0.57
37;2019-07-17;104.95;0.54763842
38;2019-06-18;105.69;0.55
39;2019-05-17;107.99;0.55
40;2019-04-16;105.9;0.65
41;2019-03-20;108.84;0.65
42;2019-02-18;106.03;0.519349
43;2019-01-17;105.5;0.703557
44;2018-12-18;104.01;0.8
45;2018-11-21;101.0;0.79937119
46;2018-10-17;102.0;0.75
47;2018-09-19;96.5;0.71
48;2018-08-16;97.67;0.704593355182812
49;2018-07-18;95.34;0.396902775676289
50;2018-06-18;90.15;0.35772951408778
