;days;values;redimentos
0;2022-09-19;103.16;1.2
1;2022-08-16;101.99;1.35
2;2022-07-18;102.67;1.410366559
3;2022-06-17;101.29;1.25
4;2022-05-17;103.49;1.25
5;2022-04-19;105.27;1.3
6;2022-03-17;106.0;1.15
7;2022-02-16;105.64;1.15
8;2022-01-18;105.06;1.34
9;2021-12-16;101.5;1.12
10;2021-11-18;101.98;1.0
11;2021-10-19;103.19;0.9
12;2021-09-17;100.79;0.75
13;2021-08-13;100.58;0.75
14;2021-07-19;103.25;1.081610055
15;2021-06-17;102.7;0.75
16;2021-05-18;103.0;0.7
17;2021-04-19;104.0;0.7
18;2021-03-16;105.3;0.75
19;2021-02-12;105.4;0.75
20;2021-01-19;105.35;0.965
21;2020-12-16;103.5;0.75
22;2020-11-18;103.49;0.6
23;2020-10-19;103.9;0.6
24;2020-09-17;102.25;0.6
25;2020-08-14;98.22;0.6
26;2020-07-16;99.75;0.65
27;2020-06-17;100.8;0.65
28;2020-05-19;98.0;0.65
29;2020-04-17;96.75;0.65
30;2020-03-17;104.0;0.7
31;2020-02-14;112.8;0.8
32;2020-01-17;111.54;0.83
33;2019-12-17;119.5;0.613074509
34;2019-09-17;129.0;0.6
35;2019-07-17;112.6;0.86643411
36;2019-06-18;108.6;0.846469512
