;days;values;redimentos
0;2022-09-15;85.71;0.8
1;2022-07-14;77.9;0.9757
2;2022-06-14;76.46;0.97
3;2022-05-13;75.75;0.8968
4;2022-04-14;72.97;0.7
5;2022-03-15;75.11;0.7
6;2022-02-14;79.0;0.7
7;2022-01-14;80.82;0.8125
8;2021-12-14;74.01;0.83
9;2021-11-16;75.48;0.8
10;2021-10-15;87.21;0.75
11;2021-09-15;87.69;0.75
12;2021-08-13;84.5;0.75
13;2021-07-15;92.4;0.7
14;2021-06-15;94.9;0.7
15;2021-05-14;98.48;0.7
16;2021-04-15;98.5;0.86
17;2021-03-12;97.2;0.741
18;2021-02-12;97.81;0.6338
19;2021-01-15;99.48;0.6031
