;days;values;redimentos
0;2022-09-15;85.0;1.2
1;2022-07-14;84.64;1.3
2;2022-06-14;88.86;1.4
3;2022-05-13;90.03;1.3
4;2022-04-14;90.57;1.3
5;2022-03-14;87.1;1.2
6;2022-02-14;85.8;1.12
7;2022-01-14;84.29;1.02
8;2021-12-13;80.85;0.92
9;2021-11-12;77.37;0.89
10;2021-10-14;78.92;0.84
11;2021-09-13;78.89;0.83
12;2021-08-13;80.48;0.71
13;2021-07-14;84.5;0.7274
14;2021-06-14;84.16;0.7
15;2021-05-14;88.5;0.6958
16;2021-04-15;90.0;0.66035
17;2021-03-12;95.85;0.6233
18;2021-02-12;96.4;0.5436
19;2021-01-15;96.98;0.5137
