;days;values;redimentos
0;2022-09-15;89.75;1.08
1;2022-07-14;90.6;1.06
2;2022-06-14;91.0;1.06
3;2022-05-13;91.46;0.9
4;2022-04-14;90.29;0.93
5;2022-03-15;88.5;0.85
6;2022-02-14;88.75;0.8
7;2022-01-14;86.17;0.77
8;2021-12-14;84.02;0.59
9;2021-11-16;82.78;0.51
10;2021-10-15;82.36;0.46
11;2021-09-15;81.71;0.43
12;2021-08-13;84.47;0.41
13;2021-07-14;84.86;0.32
14;2021-06-15;85.25;0.28
15;2021-05-14;87.69;0.2
16;2021-04-15;83.2;0.19
17;2021-03-12;79.14;0.19
18;2021-02-12;78.49;0.2
19;2021-01-15;78.75;0.21
20;2020-12-14;78.65;0.15
21;2020-11-16;83.15;0.15
22;2020-10-15;83.0;0.175
23;2020-09-15;89.65;0.21
24;2020-08-14;73.54;0.24
25;2020-07-14;73.12;0.239
26;2020-06-12;74.39;0.24
27;2020-05-15;75.99;0.271
28;2020-04-14;79.11;0.35
29;2020-03-13;89.4;0.29
30;2020-02-14;94.5;0.37
31;2020-01-15;97.99;0.3717628087
32;2019-12-13;95.63;0.279876731333296
33;2019-11-14;97.2;0.3285104252
34;2019-10-14;94.0;0.2868762032
35;2019-09-06;93.2;0.3228505168
