;days;values;redimentos
0;2022-09-15;77.48;0.65
1;2022-07-14;69.82;0.7
2;2022-06-14;72.74;0.62
3;2022-05-13;72.74;0.62
4;2022-04-14;74.4;0.62
5;2022-03-15;68.2;0.62
6;2022-02-14;68.99;0.63
7;2022-01-14;69.99;0.65
8;2021-12-14;67.24;0.62
9;2021-11-16;69.2;0.6
10;2021-10-15;77.96;0.6
11;2021-09-15;79.01;0.6
12;2021-08-13;80.57;0.6
13;2021-07-14;94.42;0.62
14;2021-06-15;102.0;0.64
15;2021-05-14;100.45;0.64
16;2021-04-15;95.51;0.65
17;2021-03-12;96.38;0.635
18;2021-02-12;99.1;0.55
19;2021-01-15;95.43;0.24867516
20;2020-12-14;92.0;0.2
21;2020-11-16;95.01;0.22
22;2020-10-15;94.51;0.1872
23;2020-09-15;101.5;0.2545
24;2020-08-14;99.8;0.2734
25;2020-07-14;89.4;0.2725
26;2020-06-12;87.98;0.262186865100992
27;2020-05-15;86.9;0.277165492771908
28;2020-04-14;87.9;0.271056258
29;2020-03-13;89.0;0.220249
30;2020-02-14;102.06;0.24
31;2020-01-15;107.16;0.0799175996
