;days;values;redimentos
0;2022-08-08;119.57;1.58
1;2022-07-08;115.54;1.57
2;2022-05-09;114.8;1.44
3;2022-04-08;119.51;1.27
4;2022-03-09;110.3;1.22
5;2022-02-08;115.0;1.16
6;2022-01-10;117.91;1.23
7;2021-12-08;115.3;1.22
8;2021-11-09;113.2;1.2
9;2021-10-08;124.62;1.11
10;2021-09-09;127.68;1.1
11;2021-08-09;128.5;1.08
12;2021-07-08;130.0;1.11
13;2021-06-09;134.7;1.16
14;2021-05-10;135.45;1.26
15;2021-04-09;138.0;1.3
16;2021-03-08;140.01;1.15
17;2021-02-08;142.64;1.2
18;2021-01-11;135.2;1.36
19;2020-12-08;131.85;1.12
20;2020-11-10;134.82;1.1
21;2020-10-08;132.3;1.0
22;2020-09-08;130.99;1.09
23;2020-08-10;129.0;1.14
24;2020-07-08;135.15;1.23
25;2020-06-08;122.83;1.25
26;2020-05-11;103.4;0.8
27;2020-04-08;103.1;0.82
28;2020-03-09;121.49;0.7
29;2020-02-10;134.49;0.57
30;2020-01-08;140.19;1.35
31;2019-12-09;136.98;0.99
32;2019-11-08;136.7;0.93
33;2019-10-08;138.45;0.9
34;2019-09-09;137.0;0.86
35;2019-08-08;138.46;0.8
36;2019-07-08;127.02;1.01
37;2019-06-10;126.38;0.85
38;2019-05-09;125.63;0.83
39;2019-04-12;125.42;0.8
40;2019-03-18;124.71;0.84
41;2019-02-14;123.96;0.75
42;2019-02-14;123.96;0.75
43;2019-01-15;122.89;1.13
44;2018-12-14;122.73;1.01
45;2018-12-06;122.25;0.65
46;2018-12-05;122.18;0.65
47;2018-11-16;122.09;0.65
48;2018-10-17;121.42;0.75
49;2018-10-15;121.27;0.75
