;days;values;redimentos
0;2022-09-15;8.1;0.08
1;2022-07-26;8.7;0.0665
2;2022-07-14;8.66;0.17
3;2022-06-14;8.89;0.07
4;2022-05-13;9.14;0.12
5;2022-04-14;8.96;0.06
6;2022-03-15;8.85;0.08
7;2022-02-14;9.36;0.08
8;2022-01-14;9.65;0.08
9;2021-12-14;9.24;0.08
10;2021-11-16;9.94;0.08
11;2021-10-15;10.55;0.2
12;2021-09-15;10.12;0.09
13;2021-08-13;9.98;0.07
14;2021-07-15;10.35;0.082
15;2021-06-15;10.26;0.07
16;2021-05-14;10.51;0.1
17;2021-04-15;11.2;0.06
18;2021-03-12;11.13;0.12
19;2021-02-12;12.15;0.16
20;2021-01-15;11.63;0.101421
21;2020-12-14;11.4;0.187771
22;2020-11-18;11.35;0.158405
23;2020-10-19;10.66;0.093808
24;2020-09-15;10.57;0.109183
25;2020-08-18;10.59;0.080167
26;2020-07-14;11.0;0.1015486
27;2020-06-16;11.8;0.0889
