;days;values;redimentos
0;2022-09-20;108.0;0.275672424
1;2022-08-19;115.75;0.3
2;2022-07-20;110.0;0.511027215
3;2022-06-20;115.0;0.4
4;2022-05-20;110.0;0.45
5;2022-04-20;109.25;0.38
6;2022-03-18;112.0;0.39
7;2022-02-18;108.76;0.37
8;2022-01-20;106.17;0.59894656
9;2021-12-20;100.0;0.35
10;2021-11-19;99.8;0.35
11;2021-10-20;121.01;0.3
12;2021-09-20;116.5;0.264705335
13;2021-08-20;113.07;0.28907495
14;2021-07-20;130.0;0.809541749
15;2021-06-18;149.78;0.4
16;2021-05-20;144.26;0.4
17;2021-04-20;146.11;0.308817194
18;2021-03-19;192.37;0.38
19;2021-01-20;180.0;0.629354135
20;2020-12-18;185.0;0.4
21;2020-11-20;175.0;0.41
22;2020-10-20;183.1;0.68
23;2020-09-18;185.0;0.45
24;2020-08-20;180.03;0.37321583
25;2020-07-20;181.93;0.577166076
26;2020-06-19;190.01;0.57
27;2020-05-20;190.0;0.55
28;2020-03-20;180.0;0.59
29;2020-02-20;240.0;0.737357437
30;2020-01-20;250.0;0.779396011
31;2019-12-20;224.5;0.914125351
32;2019-11-19;214.0;0.77
33;2019-10-18;205.5;0.77
34;2019-09-20;209.99;0.649032488
35;2019-08-20;210.0;0.727278759
36;2019-07-19;200.0;0.802148793
37;2019-06-19;188.89;0.733262652
38;2019-04-18;178.0;0.79443559013935
39;2019-03-20;199.4;0.793280067751442
40;2019-02-20;196.0;0.637276841274512
41;2019-01-18;184.95;0.64071474671216
42;2018-10-22;170.01;0.423036237264208
43;2018-09-20;172.0;0.543956276130321
44;2018-07-20;186.0;0.397254381966286
45;2018-06-20;174.5;0.453597801279716
46;2018-05-18;166.0;0.380769376775159
47;2018-04-20;182.0;0.355488735789196
48;2018-03-20;178.0;0.389349612583921
49;2018-01-19;175.0;0.361340441339763
50;2017-12-20;176.0;0.495452372494703
51;2017-10-20;165.99;0.889292436505892
52;2017-07-20;149.99;0.292323973043748
53;2017-06-20;158.99;0.301276135403279
54;2017-04-20;178.0;0.749469570038536
55;2017-03-20;169.99;0.798386888581605
56;2017-02-20;160.03;0.764541435251179
57;2016-09-20;155.05;0.492645269
