;days;values;redimentos
0;2022-09-14;92.3;0.7
1;2022-08-11;87.92;1.0
2;2022-07-13;94.33;1.3
3;2022-06-13;98.11;1.75
4;2022-05-12;96.99;1.49
5;2022-04-13;97.05;1.13
6;2022-03-14;96.05;1.08
7;2022-02-11;96.94;1.25
8;2022-01-13;99.5;1.55
9;2021-12-13;98.9;1.45
10;2021-11-12;96.0;1.19
11;2021-10-14;95.38;1.22
12;2021-09-14;95.0;1.0
13;2021-08-12;96.5;0.96
14;2021-07-13;97.43;0.75
15;2021-06-14;99.01;0.79
16;2021-05-13;102.0;0.75
17;2021-04-14;101.1;0.6
18;2021-03-11;104.0;0.59
19;2021-02-11;104.24;0.87
20;2021-01-14;104.16;1.21
21;2020-12-11;102.99;0.92
22;2020-11-13;106.0;0.8
23;2020-10-14;103.35;0.7
24;2020-09-14;100.5;0.61
25;2020-08-13;100.0;0.34
26;2020-07-13;100.95;0.62
27;2020-06-12;93.3;0.25
28;2020-05-14;89.0;0.4
29;2020-04-14;90.69;0.4
30;2020-03-12;99.99;0.31
31;2020-02-13;106.8;0.31
