;days;values;redimentos
0;2022-09-15;88.7;1.01
1;2022-07-14;89.59;1.23
2;2022-06-14;90.0;1.4
3;2022-05-13;92.0;1.35
4;2022-04-14;84.55;1.15
5;2022-03-15;86.0;1.08
6;2022-02-14;85.08;0.88
7;2021-12-14;84.0;0.77
8;2021-11-16;86.8;0.64
9;2021-10-15;84.99;0.55
10;2021-09-15;84.38;0.5
11;2021-08-13;83.81;0.77
12;2021-07-15;82.53;0.7
13;2021-06-15;86.99;0.405783966359195
14;2021-05-14;86.3;0.522217166963088
15;2021-04-15;86.98;0.438946702772455
16;2021-03-12;85.8;0.32
17;2021-02-12;87.7;0.32
18;2021-01-15;85.01;0.42
19;2020-12-14;79.5;0.31
20;2020-11-16;81.0;0.31
21;2020-10-15;85.0;0.31
22;2020-09-15;82.0;0.31
23;2020-08-14;78.0;0.31
24;2020-07-14;80.0;0.31
25;2020-06-15;81.99;0.34
26;2020-04-15;80.0;0.4
27;2020-03-13;90.99;0.35
28;2020-02-14;92.9;0.5
29;2020-01-15;94.0;0.64
30;2019-12-13;85.1;0.35
31;2019-11-14;85.55;0.44
32;2019-10-14;87.8;0.42
33;2019-08-14;88.49;0.52
34;2019-07-15;88.44;0.51
35;2019-06-14;86.21;0.51
36;2019-05-15;84.07;0.39
37;2019-04-12;86.5;0.37
38;2019-03-18;89.89;0.38
39;2018-11-16;87.01;0.35
