;days;values;redimentos
0;2022-08-08;87.71;0.83
1;2022-07-08;88.78;0.83
2;2022-05-09;90.99;0.83
3;2022-04-08;96.0;0.83
4;2022-03-09;91.53;0.83
5;2022-02-08;88.29;0.83
6;2022-01-10;92.0;0.75
7;2021-12-08;91.48;0.75
8;2021-11-09;93.13;0.75
9;2021-10-08;94.14;0.7541
10;2021-09-09;94.99;0.7541
11;2021-08-09;103.0;0.7541
12;2021-07-08;101.9;0.7541
13;2021-06-09;108.6;0.7541
14;2021-05-10;111.05;0.7541
15;2021-04-09;110.0;0.7541
16;2021-03-08;113.89;0.7541
17;2021-02-08;115.33;0.7541
18;2021-01-11;116.0;0.7215
19;2020-12-08;113.1;0.7215
20;2020-11-10;116.02;0.7215
21;2020-10-08;118.33;0.7215
22;2020-09-09;116.07;0.7215
23;2020-08-10;112.5;0.7215
24;2020-06-08;108.0;0.7215
25;2020-05-11;105.0;0.7215
26;2020-04-08;110.0;0.7215
27;2020-03-09;115.0;0.7215
28;2020-02-10;117.8;0.7215
29;2020-01-09;123.85;0.6917
30;2019-12-09;112.99;0.6917
31;2019-11-08;105.61;0.6917
32;2019-10-08;100.12;0.6917
33;2019-09-09;99.96;0.6917
34;2019-08-08;99.99;0.6917
35;2019-07-08;100.0;1.3834
36;2019-06-10;100.4;0.6917
37;2019-05-09;100.84;0.6917
38;2019-04-08;101.0;0.6917
39;2019-03-12;100.27;0.6917
40;2019-01-09;96.0;1.406666667
41;2018-06-08;100.21;0.666666667
