;days;values;redimentos
0;2022-09-08;99.45;0.73
1;2022-08-05;99.41;0.851656825
2;2022-07-07;95.89;0.79
3;2022-06-07;97.0;0.76
4;2022-05-06;93.98;0.768349723
5;2022-04-07;94.44;0.78
6;2022-03-08;92.92;0.79
7;2022-02-07;91.48;0.783751296
8;2022-01-07;96.02;0.75
9;2021-12-07;94.47;0.73
10;2021-11-08;93.95;0.73
11;2021-10-07;95.0;0.7
12;2021-09-08;96.3;0.7
13;2021-08-06;97.19;0.831432861
14;2021-07-07;97.9;0.7
15;2021-06-08;97.5;0.65
16;2021-05-07;99.1;0.625
17;2021-04-08;100.0;0.625
18;2021-03-05;101.83;0.6175427
19;2021-02-05;102.21;0.624718032
20;2021-01-08;101.0;0.690890043
21;2020-12-07;99.85;0.589793196
22;2020-11-09;100.8;0.577239687
23;2020-10-07;99.6;0.541920988
24;2020-09-08;100.11;0.487942358
25;2020-07-07;105.0;0.686396458
26;2020-06-05;101.48;0.62542614
27;2020-05-08;94.9;0.514658398
28;2020-04-07;91.5;0.67538744
29;2020-03-06;105.0;0.697628529
30;2020-02-07;110.0;0.393879936
31;2020-01-08;114.93;1.036297962
