;days;values;redimentos
0;2022-09-15;82.0;0.5
1;2022-07-14;69.03;0.4
2;2022-06-14;70.3;0.3
3;2022-05-13;72.47;0.3
4;2022-04-14;72.0;0.3
5;2022-03-15;71.0;0.3
6;2022-02-14;70.19;0.25
7;2022-01-14;65.0;0.37
8;2021-12-14;65.6;0.35
9;2021-11-16;62.2;0.25
10;2021-10-15;64.0;0.15
11;2021-03-12;64.2;0.1
12;2020-07-14;80.1;0.05
13;2020-06-15;82.0;0.15
14;2020-05-15;79.25;0.1
15;2020-04-15;81.5;0.25
16;2020-03-13;98.8;1.05
17;2020-02-14;99.98;0.45
18;2020-01-15;111.88;0.56
19;2019-12-13;103.0;0.65
20;2019-11-14;102.0;0.45
21;2019-10-14;99.3;0.44
22;2019-09-13;101.75;0.44
23;2019-08-14;93.99;0.44
24;2019-07-15;93.0;1.0
25;2019-06-14;87.0;0.09
26;2019-06-14;87.0;0.45
27;2019-05-15;81.0;0.45
28;2019-04-12;80.93;0.45
29;2019-03-18;79.0;0.45
30;2019-02-14;75.6;0.3749
31;2019-01-15;73.02;0.21
32;2018-12-14;69.0;0.2
33;2018-11-16;73.49;0.33
34;2018-10-15;63.0;0.28
35;2018-09-17;59.85;0.47
36;2018-07-20;60.0;0.275434739760588
37;2018-06-20;59.81;1.02042533449101
38;2018-05-18;70.0;0.127455937752378
39;2018-04-20;73.5;0.0933099877797196
40;2018-03-20;74.96;0.105707002352075
41;2018-01-19;75.25;0.132638367637382
42;2017-12-20;75.0;0.0603841049427951
43;2017-11-27;78.0;0.0545446404114262
44;2017-10-20;80.99;0.055926734920993
45;2017-09-20;80.0;0.0555926734920993
46;2017-09-20;80.0;0.0555926734920993
47;2017-06-20;82.0;0.113206898747548
48;2017-05-19;74.99;0.152835327425685
49;2017-02-20;79.01;0.303232765
50;2017-01-20;75.6;0.303232765
