;days;values;redimentos
0;2022-09-15;91.43;0.96
1;2022-07-14;93.83;1.05
2;2022-06-14;94.51;1.22
3;2022-05-13;95.33;1.18
4;2022-04-14;96.77;1.13
5;2022-03-15;94.45;1.1
6;2022-02-14;95.52;1.1
7;2022-01-14;96.83;0.97
8;2021-12-14;90.38;0.92
9;2021-11-16;94.79;1.0
10;2021-10-15;99.6;1.0
11;2021-09-15;96.81;0.87
12;2021-08-13;99.74;0.93
13;2021-07-14;101.0;1.0
14;2021-06-15;101.0;1.0
15;2021-05-14;100.0;0.9
16;2021-04-15;98.35;0.9
17;2021-03-12;95.75;0.85
18;2021-02-12;94.48;0.8
19;2021-01-15;95.0;0.75
20;2020-12-14;88.01;0.63
21;2020-11-13;90.07;0.63
22;2020-10-15;90.0;0.58
23;2020-09-15;88.24;0.6
24;2020-08-14;87.35;0.57
25;2020-07-15;89.03;0.54
26;2020-06-15;92.1;0.54
27;2020-05-15;82.3;0.57
28;2020-04-14;81.42;0.61
29;2020-03-13;88.85;0.65
30;2020-02-14;103.68;0.62
31;2020-01-15;103.03;0.64
