;days;values;redimentos
0;2022-09-15;21.71;0.12
1;2022-07-14;14.0;0.16
2;2022-06-14;16.0;0.18
3;2022-05-13;16.6;0.18
4;2022-04-14;17.24;0.18
5;2022-03-15;16.95;0.16
6;2022-02-14;18.7;0.15
7;2022-01-14;19.04;0.11
8;2021-12-14;20.8;0.19
9;2021-11-12;19.44;0.21
10;2021-10-15;24.06;0.21
11;2021-09-15;26.32;0.21
12;2021-08-13;32.23;0.21
13;2021-07-15;42.23;0.41
14;2021-06-15;41.51;0.39
15;2021-05-14;40.3;0.39
16;2021-04-15;40.48;0.38
17;2021-03-12;40.64;0.38
18;2021-02-12;45.56;0.38
19;2021-01-15;51.5;1.32
20;2020-12-14;49.85;0.97
21;2020-11-16;49.03;0.97
22;2020-10-15;59.5;0.97
23;2020-09-15;58.6;0.97
24;2020-08-14;54.0;0.97
25;2020-07-15;59.25;0.85
26;2020-06-15;59.0;0.85
27;2020-05-15;54.3;0.85
28;2020-04-15;50.3;0.85
29;2020-03-13;47.1;0.84
30;2020-02-14;61.1;0.83
31;2020-01-15;74.95;0.81
32;2019-12-13;71.5;0.81
33;2019-11-14;66.75;0.81
34;2019-10-14;57.82;0.81
35;2019-09-13;58.26;0.85
36;2019-08-14;56.37;0.85
37;2019-07-15;52.59;0.85
38;2019-06-14;96.3;0.85
39;2019-05-15;94.9;0.85
40;2019-04-12;93.0;0.85
41;2019-03-18;96.12;0.85
42;2019-02-14;97.7;0.85
43;2019-01-15;94.9;0.85
44;2018-12-14;96.0;0.86
45;2018-11-16;92.93;0.78
46;2018-10-15;89.76;0.78
47;2018-09-17;88.82;0.78
48;2018-08-14;89.5;0.78
49;2018-07-16;91.09;0.78
50;2018-07-16;91.09;0.78
51;2018-06-14;91.2;0.78
52;2018-05-15;98.11;0.78
53;2018-04-13;98.41;0.78
54;2018-03-14;98.19;0.78
55;2018-02-15;97.5;0.78
56;2018-01-15;97.51;0.78
57;2017-12-14;96.5;0.78
58;2017-11-16;98.45;0.78
59;2017-09-15;94.3;0.78
60;2017-08-14;89.2;0.78
61;2017-07-14;89.24;0.8
62;2017-06-14;88.2;0.78
63;2017-05-15;84.65;0.78
64;2017-04-17;84.5;0.78
65;2017-02-14;85.8;0.78
66;2017-01-13;91.8;0.81
67;2016-12-14;87.0;0.78
68;2016-11-16;85.99;0.75
69;2016-10-17;82.67;0.75
70;2016-09-15;77.86;0.75
