;days;values;redimentos
0;2022-07-25;70.75;0.61
1;2022-05-25;76.7;0.61
2;2022-04-25;82.38;0.61
3;2022-03-25;81.83;0.61
4;2022-02-14;85.21;0.63
5;2022-01-24;90.93;0.63
6;2021-12-23;89.19;0.63
7;2021-11-25;80.19;0.63
8;2021-10-25;90.55;0.63
9;2021-09-24;92.86;0.63
10;2021-08-13;96.65;0.64
11;2021-07-23;101.0;0.64
12;2021-06-25;99.0;0.62
13;2021-05-25;104.8;0.64
14;2021-04-23;109.26;0.62
15;2021-03-25;111.04;0.62
16;2021-02-12;115.0;0.62
17;2021-01-22;114.9;0.62
18;2020-12-23;115.0;0.62
19;2020-11-25;114.91;0.62
20;2020-10-23;116.89;0.62
21;2020-09-25;114.74;0.62
22;2020-08-20;114.93;0.62
23;2020-07-24;114.8;0.6
24;2020-06-25;118.19;0.6
25;2020-05-25;103.9;0.56
26;2020-04-24;103.72;0.56
27;2020-03-25;87.5;0.71
28;2020-02-14;144.0;0.71
29;2020-01-24;148.02;0.72
30;2019-12-23;163.99;0.72
31;2019-11-25;126.25;0.72
32;2019-10-25;115.5;0.72
33;2019-09-25;114.13;0.72
34;2019-08-14;118.88;0.72
35;2019-07-25;113.15;0.72
36;2019-06-25;118.8;0.71
37;2019-05-24;114.5;0.7
38;2019-04-25;118.5;0.67
39;2019-03-25;122.0;0.72
40;2019-03-25;122.0;0.72
41;2019-02-25;118.9;0.72
42;2019-01-18;112.5;0.77
43;2018-12-20;109.5;0.59
44;2018-11-16;110.0;0.61
45;2018-10-16;110.0;0.6
