;days;values;redimentos
0;2022-09-15;106.9;0.72
1;2022-07-14;95.79;0.7
2;2022-06-14;94.51;0.68
3;2022-05-13;94.24;0.66
4;2022-04-14;98.09;0.66
5;2022-03-15;100.3;0.66
6;2022-02-14;97.29;0.64
7;2022-01-14;97.8;0.64
8;2021-12-14;95.52;0.64
9;2021-11-16;90.8;0.64
10;2021-10-15;102.84;0.62
11;2021-09-15;98.11;0.62
12;2021-08-13;103.0;0.62
13;2021-07-14;112.49;0.61
14;2021-06-15;113.06;0.61
15;2021-05-14;115.0;0.6
16;2021-04-15;113.6;0.59
17;2021-03-12;116.0;0.58
18;2021-02-12;122.2;0.58
19;2021-01-15;122.75;0.6
20;2020-12-14;120.7;0.58
21;2020-11-13;128.99;0.58
22;2020-10-15;132.5;0.58
23;2020-09-15;129.7;0.58
24;2020-08-14;126.87;0.58
25;2020-07-15;126.81;0.57
26;2020-06-15;118.05;0.54
27;2020-05-15;116.9;0.54
28;2020-04-14;106.77;0.58
29;2020-03-13;115.0;0.64
30;2020-02-14;133.99;0.64
31;2020-01-15;138.5;0.64
32;2019-12-13;141.9;0.64
33;2019-11-14;118.68;0.64
34;2019-10-14;105.5;0.61
35;2019-09-13;102.63;0.61
36;2019-08-14;106.2;0.61
37;2019-07-12;103.2;0.61
38;2019-06-14;101.5;0.61
39;2019-05-15;100.83;0.68
40;2019-04-12;102.0;0.68
41;2019-03-18;103.18;0.67
42;2019-02-14;100.3;0.67
43;2019-01-15;102.8;0.648
44;2018-12-14;97.35;0.645
45;2018-11-16;95.5;0.6
46;2018-11-16;95.5;0.6
47;2018-10-15;89.5;0.7
48;2018-09-17;88.9;0.5
49;2018-08-14;93.9;0.134116
50;2018-07-13;96.21;0.32
