;days;values;redimentos
0;2022-09-08;8.93;0.11
1;2022-08-05;88.01;0.131
2;2022-07-07;94.75;0.118
3;2022-06-07;95.0;0.141
4;2022-05-06;95.9;0.128235133
5;2022-04-07;97.03;0.134
6;2022-03-08;99.65;0.13
7;2022-02-07;100.0;0.131
8;2022-01-07;96.49;0.175
9;2021-12-07;92.89;0.147
10;2021-11-08;93.28;0.141
11;2021-10-07;97.5;0.111
12;2021-09-08;98.88;0.09116437097
13;2021-08-06;102.4;0.086888232
14;2021-07-07;106.8;0.17666956785
15;2021-06-08;101.5;0.111586896
16;2021-05-07;109.8;0.10453657406
17;2021-04-08;104.5;0.114613507
18;2021-03-05;95.03;0.11032352675
19;2021-02-05;97.0;0.11936459114
20;2021-01-08;91.04;0.08018867041
21;2020-12-07;90.7;0.07991808164
22;2020-11-09;87.35;0.081199749
23;2020-10-07;87.68;0.053089867
24;2020-09-08;82.0;0.058873492
25;2020-08-07;76.14;0.04926214113
26;2020-07-07;79.0;0.03684072687
27;2020-06-05;82.0;0.03246553636
28;2020-05-08;83.91;0.04362327617
29;2020-04-07;77.5;0.06312009298
30;2020-03-06;95.0;0.02818154965
31;2020-02-07;100.0;0.03955574783
32;2020-01-08;106.8;0.05500037974
