;days;values;redimentos
0;2022-09-15;71.48;0.56
1;2022-07-14;63.5;0.6
2;2022-06-14;64.0;0.54
3;2022-05-13;65.35;0.54
4;2022-04-14;68.21;0.54
5;2022-03-15;67.0;0.54
6;2022-02-14;69.39;0.54
7;2022-01-14;73.74;0.542863208
8;2021-12-14;69.48;0.5
9;2021-11-16;65.65;0.5
10;2021-10-15;73.0;0.5
11;2021-09-15;72.94;0.5
12;2021-08-13;73.66;0.47
13;2021-07-15;83.1;0.45
14;2021-06-15;84.0;0.5
15;2021-05-14;86.9;0.5
16;2021-04-15;86.03;0.56
17;2021-03-12;89.5;0.56
18;2021-02-12;92.32;0.56
19;2021-01-15;94.0;0.53
20;2020-12-14;88.45;0.53
21;2020-11-16;90.2;0.5
22;2020-10-15;89.62;0.45
23;2020-09-15;91.0;0.45
24;2020-08-14;89.15;0.45
25;2020-07-14;88.97;0.4
26;2020-06-15;89.79;0.4
27;2020-05-15;84.87;0.4
28;2020-04-15;84.11;0.4
29;2020-03-13;89.7;0.53
30;2020-02-14;99.5;0.57
31;2020-01-15;113.6;0.57
32;2019-12-12;99.63;0.53
33;2019-11-14;105.74;0.53
34;2019-10-14;93.7;0.57
35;2019-09-13;93.38;0.57
36;2019-08-14;93.3;0.57
37;2019-07-15;90.8;0.57
38;2019-06-14;85.87;0.53
39;2019-05-15;84.3;0.53
40;2019-04-12;83.97;0.53
41;2019-03-18;83.42;0.43
42;2019-02-14;82.99;0.53
43;2019-01-15;84.0;0.58
44;2018-12-14;82.52;0.58
45;2018-11-16;81.5;0.53
46;2018-10-15;78.89;0.53
47;2018-09-17;78.85;0.53
48;2018-08-14;78.0;0.53
49;2018-07-16;75.0;0.51
50;2018-06-14;75.93;0.51
51;2018-05-15;85.8;0.51
52;2018-04-13;89.4;0.495
53;2018-03-14;84.18;0.495
54;2018-02-16;85.0;0.495
55;2018-01-15;80.0;0.508853490316019
56;2017-11-16;77.97;0.495000000840426
57;2017-10-16;72.99;0.495000000840426
58;2017-09-15;70.0;0.5
59;2017-08-14;69.97;0.5
60;2017-07-14;67.51;0.5
61;2017-06-14;70.01;0.5
62;2017-05-15;71.18;0.55
63;2017-04-17;71.46;0.55
64;2017-03-14;76.0;0.55
65;2017-02-14;70.52;0.55
66;2017-01-13;70.0;0.54
67;2016-12-14;68.68;0.54
68;2016-11-16;67.88;0.52
69;2016-10-17;70.87;0.55
70;2016-09-15;68.69;0.55
